treatment,timepoint,bg_treatment,bg_timepoint,population,target,nomP,mean_mfi,sd_mfi,max_mfi,mean_lfc,max_lfc,adjP
bor,24,dmso,24,t_cd4_cm,Aiolos,0.0766572673760696,17575.4,3369.47863919628,22005,0.540954349062877,1.09606566585915,0.0766572673760696
bor,24,dmso,24,t_cd4_cm,Helios,0.0230232005751318,1146.4,422.221269004772,1647,0.342850454692846,0.611898079692205,0.0230232005751318
bor,24,dmso,24,t_cd4_cm,Ikaros,0.983422615147235,64053,4621.20428027154,70702,0.0170536371958387,0.201875845469987,0.983422615147235
bor,24,dmso,24,t_cd4_em,Aiolos,0.123633759723829,22335.8,8144.10122112932,35838,0.398732694390671,1.02141330651585,0.123633759723829
bor,24,dmso,24,t_cd4_em,Helios,0.113125057015527,995,206.47881247237,1273,0.238609385315619,0.695386490414807,0.113125057015527
bor,24,dmso,24,t_cd4_em,Ikaros,0.471863635150692,63383.6,13029.8207508776,85377,-0.0858239143345437,0.270398529783906,0.471863635150692
bor,24,dmso,24,t_cd4_naive,Aiolos,0.0869429724305233,17516.2,4527.74057339861,22578,0.665265698316027,1.38457214389025,0.0869429724305233
bor,24,dmso,24,t_cd4_naive,Helios,0.0971112842155168,896.4,548.068243925882,1479,0.59212586699715,1.27345102177913,0.0971112842155168
bor,24,dmso,24,t_cd4_naive,Ikaros,0.906431758381037,61585,4223.71039490162,67578,0.0143207786263193,0.201825884177512,0.906431758381037
bor,24,dmso,24,t_cd4_temra,Aiolos,0.221389406436566,27097,11827.5988264736,42309,0.333468789783714,1.05331509243594,0.221389406436566
bor,24,dmso,24,t_cd4_temra,Helios,0.366960747826298,1831.4,1907.14087051796,5221,0.298232715862572,1.24093273999265,0.366960747826298
bor,24,dmso,24,t_cd4_temra,Ikaros,0.323597982765057,61279.6,5451.68683069745,66070,-0.247078563717215,0.396969127744599,0.323597982765057
bor,24,dmso,24,t_cd4_treg,Aiolos,0.0384489909338868,17253.2,3696.90163515342,21389,0.63519678149219,1.15451723008054,0.0384489909338868
bor,24,dmso,24,t_cd4_treg,Helios,0.0378628810430817,56129,6769.19928795127,66945,0.170227201453691,0.302690174082415,0.0378628810430817
bor,24,dmso,24,t_cd4_treg,Ikaros,0.953672098357484,53217.8,5502.71639283727,59619,0.0486989593714942,0.411811428894288,0.953672098357484
bor,24,dmso,24,t_cd8_cm,Aiolos,0.0565100832660499,27164.8,9371.11312491745,37083,0.578768537407444,1.19532012532334,0.0565100832660499
bor,24,dmso,24,t_cd8_cm,Helios,0.156955861061917,2001,630.497819187347,2675,0.0900636775269906,0.16011573923237,0.156955861061917
bor,24,dmso,24,t_cd8_cm,Ikaros,0.701029581426992,55201,6135.26311579218,61592,-0.0257833035609553,0.297602042400691,0.701029581426992
bor,24,dmso,24,t_cd8_em,Aiolos,0.314847557662057,23803.8,12499.9280277928,42578,0.364524252616125,1.25823094303142,0.314847557662057
bor,24,dmso,24,t_cd8_em,Helios,0.917396017292222,1772.4,771.412211466736,2973,-0.0319320202071278,0.203989321813675,0.917396017292222
bor,24,dmso,24,t_cd8_em,Ikaros,0.710225926457116,45111.8,9987.18131907096,61438,-0.0680132740594484,0.266909460200136,0.710225926457116
bor,24,dmso,24,t_cd8_naive,Aiolos,0.0804988812102851,31683.2,8489.80313081523,43674,0.611447633783971,1.40096309573751,0.0804988812102851
bor,24,dmso,24,t_cd8_naive,Helios,0.509624868025607,2061.4,826.575949323473,2834,-0.0403549380704792,0.556256917010653,0.509624868025607
bor,24,dmso,24,t_cd8_naive,Ikaros,0.927573307814247,62565.2,2466.94369615522,64595,0.00620726386213618,0.241466023109201,0.927573307814247
bor,24,dmso,24,t_cd8_temra,Aiolos,0.0685717048972986,39110.6,10987.2933791721,54378,0.597408452340265,1.24629781537687,0.0685717048972986
bor,24,dmso,24,t_cd8_temra,Helios,0.384326847273796,11103.4,20588.7860448352,47920,-0.0503017303389302,0.173575415566371,0.384326847273796
bor,24,dmso,24,t_cd8_temra,Ikaros,0.745094884025569,43569.8,3527.69736513777,46911,-0.0257563084391622,0.300893624858381,0.745094884025569
bor,48,dmso,48,t_cd4_cm,Aiolos,0.023340772920241,17893.8,3096.43814729117,22131,0.404350525188267,0.709267167918445,0.023340772920241
bor,48,dmso,48,t_cd4_cm,Helios,0.0297971825030321,1459,616.72765464182,2158,0.668659884423346,1.21520588074318,0.0297971825030321
bor,48,dmso,48,t_cd4_cm,Ikaros,0.0321444581746247,62074.2,7764.32023425103,72500,0.359084021337853,0.713136044175602,0.0321444581746247
bor,48,dmso,48,t_cd4_em,Aiolos,0.00882424444799865,21810.6,5308.3812315997,27775,0.40354412831403,0.689556633671358,0.00882424444799865
bor,48,dmso,48,t_cd4_em,Helios,0.0215377007783433,1315,616.566298138327,1956,0.861549683415428,1.41416181182198,0.0215377007783433
bor,48,dmso,48,t_cd4_em,Ikaros,0.0350809602300341,66041.2,12603.7537741738,79969,0.477493804544943,0.977534770595205,0.0350809602300341
bor,48,dmso,48,t_cd4_naive,Aiolos,0.0491995910507447,18011.8,3918.29219175906,24406,0.364743488566931,0.699582844160453,0.0491995910507447
bor,48,dmso,48,t_cd4_naive,Helios,0.0853646047618316,1213.8,637.617596996821,1916,0.767701824540017,1.53753715452842,0.0853646047618316
bor,48,dmso,48,t_cd4_naive,Ikaros,0.0607544896966555,60104.4,8134.02171745318,72500,0.294821716421858,0.669442313980078,0.0607544896966555
bor,48,dmso,48,t_cd4_temra,Aiolos,0.0345380669011301,26650.2,6366.35285701319,32881,0.55162065728293,1.11396189054966,0.0345380669011301
bor,48,dmso,48,t_cd4_temra,Helios,0.542680241273818,1377.4,724.665647040068,2077,0.472086001224453,1.29155444584384,0.542680241273818
bor,48,dmso,48,t_cd4_temra,Ikaros,0.06435225063771,66246.6,16367.0392191135,85593,0.537221191256864,1.18526065046814,0.06435225063771
bor,48,dmso,48,t_cd4_treg,Aiolos,0.0275298472678677,13956.2,3052.51072070189,18395,0.471134011302757,0.750492395660753,0.0275298472678677
bor,48,dmso,48,t_cd4_treg,Helios,0.0155447946316101,59631.8,4408.25364515247,66723,0.30842349147278,0.579233209871039,0.0155447946316101
bor,48,dmso,48,t_cd4_treg,Ikaros,0.0727899830167841,44253.2,4791.00534334914,49679,0.462937685932994,1.01198522586821,0.0727899830167841
bor,48,dmso,48,t_cd8_cm,Aiolos,0.00425061108762741,27356.4,5084.37590073747,31894,0.507766423564688,0.904460714159381,0.00425061108762741
bor,48,dmso,48,t_cd8_cm,Helios,0.0104195120604252,2211.6,659.659609192499,3038,0.333454401473642,0.627258115558001,0.0104195120604252
bor,48,dmso,48,t_cd8_cm,Ikaros,0.0735680975537896,55039.2,16714.2625383234,83045,0.496774231953487,1.0642093052589,0.0735680975537896
bor,48,dmso,48,t_cd8_em,Aiolos,0.0129966236632596,29925.4,10392.6902580612,42578,0.459253517829957,0.822537807760316,0.0129966236632596
bor,48,dmso,48,t_cd8_em,Helios,0.0177392682136477,2159.8,750.218101621122,3256,0.325714951377217,0.635645952240468,0.0177392682136477
bor,48,dmso,48,t_cd8_em,Ikaros,0.0726964793065736,53394,18722.3341493522,86459,0.530662341848226,1.10801821569893,0.0726964793065736
bor,48,dmso,48,t_cd8_naive,Aiolos,0.0221121798761201,31349,3962.90430114077,35398,0.465043567317719,0.885282239977786,0.0221121798761201
bor,48,dmso,48,t_cd8_naive,Helios,0.0357824918898131,3053.2,1608.1413806006,5514,0.342136734478438,0.762136169901112,0.0357824918898131
bor,48,dmso,48,t_cd8_naive,Ikaros,0.040927293007243,58302,11085.6952646192,68949,0.425466767117967,0.881642963050345,0.040927293007243
bor,48,dmso,48,t_cd8_temra,Aiolos,0.024130025046367,38807.2,7706.45941402406,46406,0.424537020460884,0.623972815506247,0.024130025046367
bor,48,dmso,48,t_cd8_temra,Helios,0.709464471037379,11125.2,20150.5256928945,47156,0.204056930481078,0.574199159243983,0.709464471037379
bor,48,dmso,48,t_cd8_temra,Ikaros,0.0172022897123109,43863.4,4148.59678686661,50680,0.437844702859086,0.800446949346195,0.0172022897123109
bor_len,24,dmso,24,t_cd4_cm,Aiolos,0.00576738364530479,5213.2,543.188917412718,5997,-1.19718089356777,-0.869040644115393,0.00576738364530479
bor_len,24,dmso,24,t_cd4_cm,Helios,0.000449780143699514,1232.2,429.258896238622,1686,0.460070488904067,0.688361164504143,0.000449780143699514
bor_len,24,dmso,24,t_cd4_cm,Ikaros,0.00221869497829843,27524,763.441549825525,28603,-1.19899039624865,-0.836055321650462,0.00221869497829843
bor_len,24,dmso,24,t_cd4_em,Aiolos,0.000574366921801399,8504.2,398.025376075446,9152,-0.928347626047604,-0.69283861582155,0.000574366921801399
