"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"1","fb079c46fb7f11ed898e2a71e2203848","bortezomib",24,"t_cd4_cm",2.20429161486708,1.35704189823139,"#00AEEF","#FF9F45"
"2","d4b86298fb8711edbbcffe1e90e63656","bortezomib",24,"t_cd4_naive",1.08827928004347,-2.89979117824566,"#93A7D1","#FF9F45"
"3","c121af4cfb8111edb32712c42668f295","bortezomib",24,"t_cd4_naive",2.12903240618788,-1.97187483026516,"#93A7D1","#FF9F45"
"4","b5ae8ff2fb7e11ed84ffaefa3cccb57a","bortezomib",24,"t_cd8_naive",-5.40053769650377,2.1685526995467,"#8DC63F","#FF9F45"
"5","c64971c6fb8111edb32712c42668f295","bortezomib",24,"t_cd8_memory",-3.74335285725511,3.42034250782002,"#009444","#FF9F45"
"6","b8ed8830fb7e11ed84ffaefa3cccb57a","bortezomib",24,"t_cd4_naive",0.69688609538161,-5.81320661022197,"#93A7D1","#FF9F45"
"7","96bf3860fb8011edb519365d129239e0","bortezomib",24,"t_cd4_treg",-0.31480356755174,-0.541967329521291,"#E57A93","#FF9F45"
"8","c79d44ccfb7b11ed8d7c62b1232be981","bortezomib",24,"t_cd4_naive",1.38163212237441,-3.14654081775676,"#93A7D1","#FF9F45"
"9","44da81bafb8211ed9d09f6494964bb81","bortezomib",24,"t_cd4_naive",1.50164535937392,-1.68026878400575,"#93A7D1","#FF9F45"
"10","8c6df8a0fb8111ed99031af2246d8fa2","bortezomib",24,"t_cd8_memory",-3.76630088391221,5.50029903934468,"#009444","#FF9F45"
"11","2dfc7666fb8111eda35df29f570c0793","bortezomib",24,"t_cd8_memory",1.19820311961257,1.5579741625594,"#009444","#FF9F45"
"12","2fb2e7aefb8311ed9fae72654f839162","bortezomib",24,"t_cd4_naive",1.78584555087172,-2.51155709936153,"#93A7D1","#FF9F45"
"13","45765ee6fb8211ed9d09f6494964bb81","bortezomib",24,"t_cd4_cm",0.671098503447406,0.941737714271434,"#00AEEF","#FF9F45"
"14","967f8328fb8011edb519365d129239e0","bortezomib",24,"t_cd4_naive",1.60636833605849,-2.9575162501527,"#93A7D1","#FF9F45"
"15","8bc026fefb8011edb519365d129239e0","bortezomib",24,"t_cd4_cm",2.40134504733168,-1.2934086294366,"#00AEEF","#FF9F45"
"16","84e9596cfb8111ed99031af2246d8fa2","bortezomib",24,"t_cd4_cm",2.29022100863539,1.49316698596943,"#00AEEF","#FF9F45"
"17","d2f95700fb8711edbbcffe1e90e63656","bortezomib",24,"t_cd4_naive",2.23834303317153,-2.87061923458111,"#93A7D1","#FF9F45"
"18","77e7f1fcfb8011eda0a9e2763843e521","bortezomib",24,"t_cd4_naive",1.24614599642836,-3.20165985538494,"#93A7D1","#FF9F45"
"19","c309443afb7e11edb9e426a51887eecf","bortezomib",24,"t_cd8_memory",-3.92867013516343,3.9957342772292,"#009444","#FF9F45"
"20","c5b24450fb7b11ed8d7c62b1232be981","bortezomib",24,"t_cd4_naive",0.492474827147357,-3.57972615673076,"#93A7D1","#FF9F45"
"21","c6d64884fb8711edbbcffe1e90e63656","bortezomib",24,"t_cd4_cm",0.833194527006976,2.12956387088764,"#00AEEF","#FF9F45"
"22","ff1579f2fb7f11ed898e2a71e2203848","bortezomib",24,"t_cd4_em",0.988460335112445,2.91194540546406,"#1C75BC","#FF9F45"
"23","ec8c722cfb7f11ed898e2a71e2203848","bortezomib",24,"t_cd4_naive",1.84013322291457,-3.27359801246654,"#93A7D1","#FF9F45"
"24","f8e87782ff2111edaa5fda2b1e723be2","bortezomib",24,"t_cd4_em",1.26365235743605,3.7156296400832,"#1C75BC","#FF9F45"
"25","4a0ba1e8fb7b11ed933dc6f18f77c1a7","bortezomib",24,"t_cd8_naive",-4.91466995778001,1.88516170070637,"#8DC63F","#FF9F45"
"26","48e676a8fb7b11ed933dc6f18f77c1a7","bortezomib",24,"t_cd8_memory",-3.90980884137071,3.18527323291767,"#009444","#FF9F45"
"27","9c84fafafb8011edb519365d129239e0","bortezomib",24,"t_cd4_naive",1.81950810847365,-1.72188266827594,"#93A7D1","#FF9F45"
"28","c2dfd050fb7e11ed84ffaefa3cccb57a","bortezomib",24,"t_cd4_cm",0.721470865584246,1.52450925395954,"#00AEEF","#FF9F45"
"29","47add9defb7b11ed933dc6f18f77c1a7","bortezomib",24,"t_cd8_naive",-5.68958779873765,1.84953004405964,"#8DC63F","#FF9F45"
