aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,bortezomib,dmso,up,ARID3A_6,ARID3A,1.15550296041748,0.027554973646268,0.247994762816412,0.605557490560675,1.5598,0.295131776124943,72737,21467,0.341025641025641,390,133,72,0.000741422990783542,0.0740738959511432,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ARID5B_7,ARID5B,1.44811487444939,0.0464515275222749,0.418063747700474,0.378757490560675,1.333,0.0424955662180183,72737,3091,0.0615384615384615,390,24,72,1.30546499828606e-17,-0.501071942663028,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,ARID3B_8,ARID3B,1.3589221237251,0.0176481830623215,0.158833647560894,0.799057490560675,1.7533,0.0924563839586455,72737,6725,0.125641025641026,390,49,72,1.840635546697e-08,0.237661246910632,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ARID5A_9,ARID5A,1.27766267744634,0.0726273168760684,0.653645851884615,0.184657490560675,1.1389,0.0762610500845512,72737,5547,0.0974358974358974,390,38,72,0.103295021187644,-0.0343571819265068,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,ARID2_11,ARID2,1.17881345140939,0.303319268535356,1,0,0.5181,0.0304521770213234,72737,2215,0.0358974358974359,390,14,72,0.0199851403727434,0.124584778097983,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,HMGA1_12,HMGA1,1.17713410884327,0.12726236800229,1,0,0.8953,0.108912932895225,72737,7922,0.128205128205128,390,50,72,0.00672839117115159,0.0584362324557905,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,MAX_14,MAX,0.941647854617246,0.632266249929688,1,0,0.1991,0.0435679227903268,72737,3169,0.041025641025641,390,16,72,0.000103605010034228,0.0714917568515931,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,TFE3_18,TFE3,1.08118914901524,0.421211286754067,1,0,0.3755,0.0332018092580117,72737,2415,0.0358974358974359,390,14,72,0.0792965326525802,0.0431303492752351,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MNT_20,MNT,0.824149925784924,0.773927003278055,1,0,0.1113,0.0311120887581286,72737,2263,0.0256410256410256,390,10,72,0.0432913650122258,0.0331831439376857,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,TCF3_21,TCF3,1.05732163387205,0.395275594019728,1,0,0.4031,0.0800280462488142,72737,5821,0.0846153846153846,390,33,72,0.000392692855226526,0.0716724494044538,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,SREBF1_22,SREBF1,1.72052701296244,0.000648485097144138,0.00583636587429724,2.23385749056068,3.1881,0.0596120268914033,72737,4336,0.102564102564103,390,40,72,0.344350829001858,-0.00785000194665224,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,HIF1A_24,HIF1A,0.418548312848133,0.992887401325043,1,0,0.0031,0.0306309031167081,72737,2228,0.0128205128205128,390,5,72,0.350845385672491,-0.0533199007348751,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,USF2_26,USF2,1.09810890483342,0.371107729492926,1,0,0.4305,0.0443653161389664,72737,3227,0.0487179487179487,390,19,72,0.0349834605877598,0.034803927323047,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,AHR_28,AHR,0.656078161258846,0.94929239138408,1,0,0.0226,0.0429905000206222,72737,3127,0.0282051282051282,390,11,72,4.46326692462497e-13,-0.3694173118232,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,MLX_29,MLX,0.830757809376963,0.748514124645485,1,0,0.1258,0.0246916974854613,72737,1796,0.0205128205128205,390,8,72,0.0169429008863749,-0.0425151451953198,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,TFEB_32,TFEB,1.26874236874237,0.190326823757635,1,0,0.7205,0.0343566547974208,72737,2499,0.0435897435897436,390,17,72,0.0154768169894919,0.0554883113726489,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ID2_35,ID2,0.823587479027062,0.782888655613014,1,0,0.1063,0.0342466695079533,72737,2491,0.0282051282051282,390,11,72,0.00105040952700549,-0.138196711148234,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,ID3_38,ID3,0.897355110097621,0.76155276627404,1,0,0.1183,0.088579402504915,72737,6443,0.0794871794871795,390,31,72,3.60125184796567e-05,-0.136899455843191,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,MXI1_40,MXI1,0.823681954218232,0.80556390779017,1,0,0.0939,0.0435816709515102,72737,3170,0.0358974358974359,390,14,72,0.000186537974823974,0.159199621091381,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ARNTL_50,ARNTL,1.48240539060211,0.0785235634610072,0.706712071149065,0.150757490560675,1.105,0.0276750484622682,72737,2013,0.041025641025641,390,16,72,0.107952961474659,-0.0264305138100092,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,BHLHE40_51,BHLHE40,0.820804965205943,0.769307559506068,1,0,0.1139,0.0281149896201383,72737,2045,0.0230769230769231,390,9,72,7.64733723775332e-18,-0.175663084885534,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,CLOCK_53,CLOCK,0.43440635451505,0.969616506049464,1,0,0.0134,0.0177076316042729,72737,1288,0.00769230769230769,390,3,72,0.591455959729628,-0.0034225087985667,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MYC_55,MYC,0.682335834896811,0.938858191873097,1,0,0.0274,0.0450939686816888,72737,3280,0.0307692307692308,390,12,72,4.10417248325147e-10,-0.159140509910654,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,TCF12_56,TCF12,0.928520259514012,0.737564490906881,1,0,0.1322,0.140836163163177,72737,10244,0.130769230769231,390,51,72,0.226169487984823,0.0723001631317575,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,ARNT_57,ARNT,0.905992989199096,0.654937714593366,1,0,0.1838,0.0198111002653395,72737,1441,0.0179487179487179,390,7,72,0.664400437128626,-0.0252173756516891,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,USF1_60,USF1,1.08559445986687,0.385567127557394,1,0,0.4139,0.0472386818263057,72737,3436,0.0512820512820513,390,20,72,0.00153979041248525,-0.0698341348162116,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,MLXIP_78,MLXIP,0.938390582164167,0.620297455978814,1,0,0.2074,0.0218595762816723,72737,1590,0.0205128205128205,390,8,72,0.005958000366257,-0.111285690595163,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,SREBF2_99,SREBF2,1.73100904331271,0.000676861792919746,0.00609175613627771,2.21525749056068,3.1695,0.0577697732928221,72737,4202,0.1,390,39,72,0.825254635995109,-0.0211252476879208,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MGA_103,MGA,1.87502481831894,2.85101826750391e-05,0.000256591644075352,3.59075749056068,4.545,0.06427265353259,72737,4675,0.120512820512821,390,47,72,0.144620992270921,-0.0893548872021921,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,NFE2L1_106,NFE2L1,2.25762764471574,5.95250816780947e-06,5.35725735102853e-05,4.27105749056067,5.2253,0.0408870313595557,72737,2974,0.0923076923076923,390,36,72,3.81343303020634e-08,0.152042323579732,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,CREM_108,CREM,0.582020164301718,0.973195293592278,1,0,0.0118,0.0396496968530459,72737,2884,0.0230769230769231,390,9,72,0.0078076973642818,-0.126065310313713,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,XBP1_109,XBP1,1.46499496475327,0.112124365904749,1,0,0.9503,0.022753206758596,72737,1655,0.0333333333333333,390,13,72,4.21583367796904e-25,-0.440585685183597,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,CREB3_111,CREB3,1.32796372930867,0.138070214642201,1,0,0.8599,0.0347553514717407,72737,2528,0.0461538461538462,390,18,72,0.0219598933166076,0.0400915959231096,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,BACH2_113,BACH2,5.31823866071654,3.60329650128165e-66,3.24296685115349e-65,64.4890574905607,65.4433,0.0699093996178011,72737,5085,0.371794871794872,390,145,72,3.21809734195334e-32,0.72856043732782,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ATF2_114,ATF2,1.3369543240511,0.191822700172525,1,0,0.7171,0.0230144218210814,72737,1674,0.0307692307692308,390,12,72,0.000224635379530297,0.192958826248577,up,CD4 CM,#00AEEF,2,6,orangered
