aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,ADRM1,0.0243942104783515,1.06166707500668,0.135985151746933,5.32853452228673e-08,2.57162342228997e-06,1,up,RP 19S base,5,33,38,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ECPAS,0.274802284789174,1.30695603151779,0.677421870719006,2.38658258818041e-39,2.25240361155605e-36,1,up,RP-associated,0,5,5,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PAAF1,-0.0397515160840451,0.216686167116791,0.0215301919615199,0.367999252507698,0.648367269750812,1,up,RP-associated,0,1,1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,POMP,0.019355786891196,0.42719598526923,0.112330597249003,0.0051225187547446,0.052612665420557,1,up,CP-associated,1,15,16,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PRKN,0.0707955307578708,0.0834032867240591,0.0692910676355457,0.250731112893456,0.54207752201954,1,up,RP-associated,0,6,6,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA1,0.0316731651999246,0.555238799013679,0.248260987955792,4.89999197236496e-06,0.000161947594604155,1,up,CP 20S alpha ring,8,59,67,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA2,0.139463013888244,0.652597536573331,0.240232060801621,3.82351259610411e-11,2.75228101621257e-09,1,up,CP 20S alpha ring,8,58,66,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA3,0.0959094118928401,0.917592598891373,0.350964856316246,4.36306554674641e-16,5.61513314455515e-14,1,up,CP 20S alpha ring,8,57,65,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA4,0.0787979067251798,0.883768998950875,0.229682142575863,3.41804342561316e-11,2.48144109890241e-09,1,up,CP 20S alpha ring,8,56,64,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA5,0.175211068338009,0.660577963157261,0.312360650757288,2.79665922160472e-14,2.89692968637933e-12,1,up,CP 20S alpha ring,8,55,63,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA6,0.178885883415278,1.0240396594544,0.38229372122943,3.62420567450545e-22,9.32848575734828e-20,1,up,CP 20S alpha ring,8,54,62,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMA7,0.183122366601241,0.668885568555564,0.362490183843098,3.35673151979743e-16,4.45501211393115e-14,1,up,CP 20S alpha ring,8,53,61,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB1,0.174135027779764,0.92581869303755,0.378540326020077,3.2290846119943e-21,7.83652705550845e-19,1,up,CP 20S beta ring,7,52,59,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB10,-0.00494496972216056,0.248118832375206,0.0445927265284303,0.252756160165287,0.543521727707329,1,up,Immunoproteasome,6,43,49,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB2,0.234236360599553,1.4987780693524,0.536796195971978,6.81664674124313e-39,5.79005974201191e-36,1,up,CP 20S beta ring,7,51,58,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB3,0.111590752722344,1.12563126790555,0.288811230722177,3.97936325003574e-17,5.82770886996614e-15,1,up,CP 20S beta ring,7,50,57,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB4,0.128013731854407,0.959553885842686,0.303138266861043,1.89769231939373e-16,2.59983847756942e-14,1,up,CP 20S beta ring,7,49,56,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB5,0.0599324849254406,0.881036952030027,0.169758116429875,2.04799449315883e-08,1.07380649536365e-06,1,up,CP 20S beta ring,7,48,55,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB6,0.111755366407621,0.915363076096408,0.205815796551017,1.10370336386141e-11,8.52259670239889e-10,1,up,CP 20S beta ring,7,47,54,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMB7,0.123474578498938,1.01735912193133,0.391030192481834,2.08017105141211e-19,3.84108106754227e-17,1,up,CP 20S beta ring,7,46,53,Bor/DMSO,CD4 CM,#00AEEF,2,6
