aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,alt_name,branch,y_offset,group,order,gene_ypos,gene_label,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,BCL10,0.062854923507439,0.0997817897424178,0.0186618833838443,0.313667208982933,0.606855744526941,1,up,,PKCθ–IKK–NF-κβ pathway,4,CBM complex,36,40,BCL10,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CARD11,0.00973736936386028,-0.0129473030307995,-3.13648493955876e-05,0.956837802940291,0.983918694162955,-1,dn,CARMA1,PKCθ–IKK–NF-κβ pathway,4,CBM complex,34,38,CARD11 | CARMA1,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CD247,-0.00965959590621804,-0.00850833800548937,-0.0104805857125043,0.961046978913295,0.98616266010048,-1,dn,CD3ζ,Initial TCR Response,5,TCR complex,56,61,CD247 | CD3ζ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CD3D,-0.0221940170408182,-0.0126579715595997,-0.0170324951148653,0.734695138352088,0.881053297354601,-1,dn,CD3δ,Initial TCR Response,5,TCR complex,60,65,CD3D | CD3δ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CD3E,-0.0158601467051765,-0.390771581893316,-0.122526328877917,0.00459449776694178,0.0489106467827092,-1,dn,CD3ε,Initial TCR Response,5,TCR complex,61,66,CD3E | CD3ε,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CD3G,-0.0573684476984417,-0.52031353828583,-0.197496097045056,7.47336842924261e-06,0.00023686116208204,-1,dn,CD3γ,Initial TCR Response,5,TCR complex,57,62,CD3G | CD3γ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CD4,0.0432130603241706,-0.220464336891612,-0.0521105336779418,0.0743294895983443,0.296244185453859,-1,dn,,Initial TCR Response,5,TCR Coreceptor,55,60,CD4,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CHUK,0.0384669637781663,0.144962655650442,0.02566374356304,0.484124980117885,0.73326633044246,1,up,IKKɑ,PKCθ–IKK–NF-κβ pathway,4,IKb Kinase complex,30,34,CHUK | IKKɑ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CSK,0.0219949884516449,-0.247214512450761,-0.0351292820785175,0.252538126942349,0.543190390035025,-1,dn,,Initial TCR Response,5,TCR Negative Regulator,48,53,CSK,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,DGKA,-0.0122373401463747,-0.0843156707523869,-0.0354810494670127,0.685510198388872,0.855238882120593,-1,dn,DGKɑ,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,19,22,DGKA | DGKɑ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,FOS,-0.0371463019116365,-0.718511692399564,-0.0565227810661608,0.00561977887559815,0.0565573480679273,-1,dn,c-Fos,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,20,23,FOS | c-Fos,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,FYN,-0.0320423872222204,-0.210856407545702,-0.0861414699796041,0.240444012465302,0.533132192183357,-1,dn,,Initial TCR Response,5,ITAM-targeting Kinase,51,56,FYN,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,GRAP2,-0.0194356805583328,-0.264200236541137,-0.124015379518146,0.0652657358087469,0.272550226135445,-1,dn,GADS,Initial TCR Response,5,Phospholipase C complex,42,47,GRAP2 | GADS,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,IKBKB,-0.0505518475175141,-0.0347304454323445,-0.0218388586831083,0.310384634175973,0.603615296812421,-1,dn,IKKβ,PKCθ–IKK–NF-κβ pathway,4,IKb Kinase complex,31,35,IKBKB | IKKβ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,IKBKG,-0.000617328878932329,-0.204266908815688,-0.0118434164431577,0.73166432012457,0.879032070033677,-1,dn,IKKγ,PKCθ–IKK–NF-κβ pathway,4,IKb Kinase complex,29,33,IKBKG | IKKγ,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ITK,-0.0860707852174545,-0.612740007734654,-0.284509220192853,1.08289937298651e-07,4.91879533376868e-06,-1,dn,,Initial TCR Response,5,Phospholipase C complex,41,46,ITK,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,JUN,-0.0236715847408917,-0.331388767767323,-0.0859870084335547,0.0471391689385634,0.224188186430099,-1,dn,c-Jun,Ca2+–calcineurin–NFAT pathway,3,Ca-calcineurin-NFAT,21,24,JUN | c-Jun,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,LAT,-0.00631026631915047,-0.487177363032281,-0.116718126828616,0.00153691384447434,0.0211238611569014,-1,dn,,Initial TCR Response,5,Phospholipase C complex,43,48,LAT,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,LCK,0.0242514129193537,-0.297190418474585,-0.0940154365726749,0.0315174330446331,0.176124392290206,-1,dn,,Initial TCR Response,5,ITAM-targeting Kinase,52,57,LCK,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,LCP2,-0.138945487721931,-0.544097823996402,-0.29885362022216,5.88783114361378e-10,3.81765173540881e-08,-1,dn,SLP-76,Initial TCR Response,5,Phospholipase C complex,44,49,LCP2 | SLP-76,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,MALT1,-0.0801159665240809,-0.254407345345622,-0.139535530571573,0.00371566360411898,0.0418024458985253,-1,dn,,PKCθ–IKK–NF-κβ pathway,4,CBM complex,33,37,MALT1,Bor/DMSO,CD4 CM,#00AEEF,2,6
