aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,lenalidomide,dmso,up,ARID3A_6,ARID3A,0.934708124579346,0.801493491442311,1,0,0.0961,0.295131776124943,72737,21467,0.275862068965517,348,96,24,0.909371572679295,0.0140903773079387,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARID5B_7,ARID5B,1.01430459956046,0.514517321381658,1,0,0.2886,0.0424955662180183,72737,3091,0.0431034482758621,348,15,24,0.691997136147362,0.0470874822053426,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARID3B_8,ARID3B,0.901325898389095,0.747997247949334,1,0,0.1261,0.0924563839586455,72737,6725,0.0833333333333333,348,29,24,0.482671372757215,-0.0606473976809443,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARID5A_9,ARID5A,1.055057201884,0.412287340722887,1,0,0.3848,0.0762610500845512,72737,5547,0.0804597701149425,348,28,24,0.919736759129715,-0.0154097270601113,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARID2_11,ARID2,0.660542020186295,0.907193646515089,1,0,0.0423,0.0304521770213234,72737,2215,0.0201149425287356,348,7,24,0.853137924633007,-0.0352983481450699,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,HMGA1_12,HMGA1,0.685985049636252,0.987188301068396,1,0,0.0056,0.108912932895225,72737,7922,0.0747126436781609,348,26,24,0.414236456099428,-0.031282862157668,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MAX_14,MAX,1.18720688567045,0.260975657249414,1,0,0.5834,0.0435679227903268,72737,3169,0.0517241379310345,348,18,24,0.627029886852535,0.0134266732389411,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,TCF3_21,TCF3,0.933580753000926,0.671274268517048,1,0,0.1731,0.0800280462488142,72737,5821,0.0747126436781609,348,26,24,0.315626378907128,-0.0400656332175087,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,HIF1A_24,HIF1A,0.46906276439877,0.98242634475827,1,0,0.0077,0.0306309031167081,72737,2228,0.014367816091954,348,5,24,0.568058570735503,0.067114581549813,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,USF2_26,USF2,1.10109831201536,0.377137745011398,1,0,0.4235,0.0443653161389664,72737,3227,0.0488505747126437,348,17,24,0.953819449015254,0.0106565876554783,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,AHR_28,AHR,0.601576370433268,0.964939311805582,1,0,0.0155,0.0429905000206222,72737,3127,0.0258620689655172,348,9,24,0.00013718989141361,0.250108246027153,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,lenalidomide,dmso,up,MLX_29,MLX,1.39653252438369,0.15620682313613,1,0,0.8063,0.0246916974854613,72737,1796,0.0344827586206897,348,12,24,0.698976574912657,-0.0274513291492065,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ID2_35,ID2,1.00689378313653,0.531128981855013,1,0,0.2748,0.0342466695079533,72737,2491,0.0344827586206897,348,12,24,0.932994492921021,0.00576588736757988,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ID3_38,ID3,0.875894448398957,0.791042832819083,1,0,0.1018,0.088579402504915,72737,6443,0.0775862068965517,348,27,24,0.93037731201899,0.0179411877620994,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MXI1_40,MXI1,0.857156713441387,0.75214227608716,1,0,0.1237,0.0435816709515102,72737,3170,0.0373563218390805,348,13,24,0.492171266252883,0.0707056115567218,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARNTL_50,ARNTL,1.14215501538848,0.370083736292316,1,0,0.4317,0.0276750484622682,72737,2013,0.0316091954022989,348,11,24,0.487528532669276,-0.0654140128302069,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,BHLHE40_51,BHLHE40,1.02207514824495,0.516416369272071,1,0,0.287,0.0281149896201383,72737,2045,0.028735632183908,348,10,24,0.821307196721657,-0.0308551380484859,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,CLOCK_53,CLOCK,1.13594765117441,0.420049043396199,1,0,0.3767,0.0177076316042729,72737,1288,0.0201149425287356,348,7,24,0.85273119124334,-0.0388531124523783,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MYC_55,MYC,0.828410604149145,0.792501330480472,1,0,0.101,0.0450939686816888,72737,3280,0.0373563218390805,348,13,24,0.664947727637443,0.0523051939798276,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,TCF12_56,TCF12,0.999775871045344,0.524203601008463,1,0,0.2805,0.140836163163177,72737,10244,0.140804597701149,348,49,24,0.726606424538364,0.065048666997904,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ARNT_57,ARNT,1.01533697065416,0.536043457816143,1,0,0.2708,0.0198111002653395,72737,1441,0.0201149425287356,348,7,24,0.92633095573543,-0.0111229891706019,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,USF1_60,USF1,1.27744520492955,0.151809867075721,1,0,0.8187,0.0472386818263057,72737,3436,0.0603448275862069,348,21,24,0.985159361145174,-0.00131641141653761,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MLXIP_78,MLXIP,0.788733463456951,0.77374882051481,1,0,0.1114,0.0218595762816723,72737,1590,0.0172413793103448,348,6,24,0.453537227125867,0.0657842810913015,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,SREBF2_99,SREBF2,1.19379934021566,0.213108121063594,1,0,0.6714,0.0577697732928221,72737,4202,0.0689655172413793,348,24,24,0.125432254780638,-0.106119243580302,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MGA_103,MGA,1.56481344889053,0.00613196969715682,0.0551877272744114,1.25815749056068,2.2124,0.06427265353259,72737,4675,0.100574712643678,348,35,24,0.639897058692389,-0.0684494320110771,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,NFE2L1_106,NFE2L1,0.983927757036075,0.562600352579543,1,0,0.2498,0.0408870313595557,72737,2974,0.0402298850574713,348,14,24,0.995425332634445,-0.0037567027860665,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,CREM_108,CREM,1.08710662872447,0.407661783347945,1,0,0.3897,0.0396496968530459,72737,2884,0.0431034482758621,348,15,24,0.348616918863079,0.0834904293517998,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,XBP1_109,XBP1,1.51551203250339,0.103109813184962,0.927988318664657,0.0324574905606752,0.9867,0.022753206758596,72737,1655,0.0344827586206897,348,12,24,0.0290768061109053,0.156911295917464,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,lenalidomide,dmso,up,DBP_110,DBP,2.05225587734834,0.0122800461798879,0.110520415618991,0.956557490560675,1.9108,0.0182025654068768,72737,1324,0.0373563218390805,348,13,24,0.519637453412128,-0.0116751982011376,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,BACH2_113,BACH2,2.38403802032121,7.15319394075337e-10,6.43787454667804e-09,8.19125749056067,9.1455,0.0699093996178011,72737,5085,0.166666666666667,348,58,24,0.656086470926412,-0.0374613251603637,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ATF2_114,ATF2,1.87288860050262,0.0160103195466733,0.14409287592006,0.841357490560675,1.7956,0.0230144218210814,72737,1674,0.0431034482758621,348,15,24,0.564383011988348,0.0137964228810067,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,NFE2L2_115,NFE2L2,1.34314719802728,0.0371706366796068,0.334535730116461,0.475557490560675,1.4298,0.0834375902223078,72737,6069,0.112068965517241,348,39,24,0.916090284357827,0.000802994583757877,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ATF6_116,ATF6,1.06242477710653,0.442384599808885,1,0,0.3542,0.0405708236523365,72737,2951,0.0431034482758621,348,15,24,0.502395905584434,0.0873136001873792,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,CREB1_117,CREB1,1.00536011455552,0.53740289295035,1,0,0.2697,0.0285824271003753,72737,2079,0.028735632183908,348,10,24,0.750738519051279,-0.0568240491097327,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ATF1_118,ATF1,1.32078589457246,0.202395102798877,1,0,0.6938,0.0261077580873558,72737,1899,0.0344827586206897,348,12,24,0.802777892460305,-0.00689849704488868,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ATF4_122,ATF4,1.04829736944799,0.470760483256583,1,0,0.3272,0.0356352337874809,72737,2592,0.0373563218390805,348,13,24,0.431223785992755,-0.0578671739322306,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,JUND_124,JUND,2.14621350600531,3.53427224366273e-11,3.18084501929646e-10,9.49745749056068,10.4517,0.107111923780194,72737,7791,0.229885057471264,348,80,24,0.424997591937854,-0.0588717070447259,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,CEBPG_128,CEBPG,0.945053660057688,0.610942024905572,1,0,0.214,0.0182438098904272,72737,1327,0.0172413793103448,348,6,24,0.639897058692389,-0.0321658867708763,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,BATF_129,BATF,1.71516214941604,0.000113187899365542,0.00101869109428987,2.99195749056068,3.9462,0.0854448217550903,72737,6215,0.146551724137931,348,51,24,0.933727828639011,0.0160883972826943,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,BACH1_130,BACH1,2.01193771224929,9.74540741766307e-08,8.77086667589677e-07,6.05695749056067,7.0112,0.0885519061825481,72737,6441,0.17816091954023,348,62,24,0.652484299316083,0.0811748745345494,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,FOS_137,FOS,2.12887379172115,2.02534960682497e-11,1.82281464614248e-10,9.73925749056068,10.6935,0.112033765483867,72737,8149,0.238505747126437,348,83,24,0.411694295413769,-0.0389895812367113,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,ATF7_138,ATF7,1.31524510424389,0.206205383773561,1,0,0.6857,0.0262177433768233,72737,1907,0.0344827586206897,348,12,24,0.738457183470815,-0.052451964479646,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,JUNB_139,JUNB,2.24092174627445,2.91474120147248e-12,2.62326708132523e-11,10.5811574905607,11.5354,0.103867357740902,72737,7555,0.232758620689655,348,81,24,0.544913126171118,0.028978646409475,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,CEBPB_140,CEBPB,0.760359462548435,0.839073489910136,1,0,0.0762,0.0340129507678348,72737,2474,0.0258620689655172,348,9,24,0.717042059532839,-0.0271299241299366,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,JUN_143,JUN,2.24223762811628,1.39476165764e-12,1.255285491876e-11,10.9012574905607,11.8555,0.106369523076289,72737,7737,0.238505747126437,348,83,24,0.884910403434953,0.0346282828434724,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,lenalidomide,dmso,up,MAF_144,MAF,1.11143079539367,0.362743801476458,1,0,0.4404,0.0439528713034632,72737,3197,0.0488505747126437,348,17,24,0.555714129016239,0.0236822120403626,up,CD4 CM,#00AEEF,2,6,gray60
