treatment,timepoint,aifi_cell_type,tf_gene,tf_logFC,tf_adjP,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,mean_logFC,sum_sig_logFC,ypos
bortezomib,24,t_cd4_cm,BACH1,0.381671702133023,2.88474244676166e-10,CD4 CM,#00AEEF,2,6,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd4_cm,MAFG,0.240352123404035,2.66128813770852e-15,CD4 CM,#00AEEF,2,6,0.425100686830385,4.67610755513423,3
bortezomib,24,t_cd4_cm,ZEB1,0.344966614388572,5.4983157545262e-09,CD4 CM,#00AEEF,2,6,0.700144414800652,7.00144414800652,4
bortezomib,24,t_cd4_cm,IKZF1,-0.189236297915851,0.00556001295458145,CD4 CM,#00AEEF,2,6,-0.957452098229904,-8.61706888406914,-3.5
bortezomib,24,t_cd4_cm,TFDP2,0.25061105376171,1.09982279100326e-10,CD4 CM,#00AEEF,2,6,0.643099975684443,4.5016998297911,2
bortezomib,24,t_cd4_cm,E2F3,0.38431112492746,8.19298581224035e-19,CD4 CM,#00AEEF,2,6,0.463625477616677,4.1726292985501,1
bortezomib,24,t_cd4_cm,ETS1,-0.29156240024014,4.84382636492934e-06,CD4 CM,#00AEEF,2,6,-0.567904763283339,-5.67904763283339,-1.5
bortezomib,24,t_cd4_cm,IRF1,-0.115606007950492,0.193567034811571,CD4 CM,#00AEEF,2,6,-0.696036186323234,-4.87225330426264,-0.5
bortezomib,24,t_cd4_cm,STAT1,-0.150913138992479,0.00674098293163685,CD4 CM,#00AEEF,2,6,-1.24300906433018,-9.9440725146414,-4.5
bortezomib,24,t_cd4_cm,BCL11B,-0.390946497667373,2.45309896113889e-13,CD4 CM,#00AEEF,2,6,-0.758788934182187,-7.58788934182187,-2.5
bortezomib,24,t_cd4_em,BACH1,0.472026431903463,0.00124542200487922,CD4 EM,#1C75BC,3,5,0.806298701301884,8.06298701301884,5
bortezomib,24,t_cd4_em,MAFG,0.265405624104815,0.000124636190664339,CD4 EM,#1C75BC,3,5,0.425100686830385,4.67610755513423,3
