treatment,timepoint,aifi_cell_type,direction,motif_id,tf_gene,tf_logFC,tf_adjP,n_all_genes,n_motif_genes,n_deg,n_ol,nomP,ol_genes,adjP,frac_deg,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,mean_logFC,sum_sig_logFC,ypos,xmin,xmax,plot_adjP
bortezomib,24,t_cd4_cm,up,BACH1_130,BACH1,0.381671702133023,2.88474244676166e-10,7606,2256,328,94,0.67794135254275,ABHD3;ABHD4;ABI1;ADHFE1;AGTPBP1;AIM2;AKAP9;ANAPC10;ANXA2;ANXA7;AP3S2;AP5Z1;ARID3B;ATP2C1;BIRC6;CCDC32;CLTC;DESI1;DNAJB6;DNTTIP2;E2F3;ELMO1;ERC1;EXOC6B;FAF1;FERMT3;FLNA;FLYWCH1;FTL;GABARAPL1;GALNT10;GLIPR1L1;GSR;HELZ;HSD17B4;HSP90AB1;HSPA8;HSPA9;HSPB1;HSPH1;HTR2B;IFI44;INVS;KCMF1;LAMP2;LPXN;LYPLAL1;MAN1A2;MIR22HG;MSN;NAA25;NEAT1;NQO2;NSMAF;PARP14;PCYT1A;PRKCB;PSMA2;PSMA3;PSMA4;PSMA6;PSMB2;PSMC4;PSMD12;PSME4;PTPN11;RAD23B;RAD9A;RB1CC1;RFFL;RHEB;RPTOR;RTN4;SLC10A7;SLCO3A1;SLMAP;SNX24;SPATS2;SRGN;STAM;TAX1BP1;TBK1;TNKS;TRG-AS1;TXN;TXNRD1;UBQLN1;UBR2;UNKL;VEZT;VPS29;WARS;XRN1;ZFAND5,1,0.286585365853659,CD4 CM,#00AEEF,2,6,0.806298701301884,8.06298701301884,5,1.85670731707317,2.14329268292683,NA
bortezomib,24,t_cd4_cm,up,MAFG_148,MAFG,0.240352123404035,2.66128813770852e-15,7606,1153,328,48,0.631126834316965,AKAP9;ANXA7;ARID3B;BIRC6;BLOC1S2;BSDC1;CSPP1;DNAJB6;DNTTIP2;E2F3;ECPAS;ELMO1;FTL;GBE1;GBF1;GLA;GPATCH2;GPI;HSPA8;HSPA9;MAN1A2;MSN;NEAT1;NIT2;NORAD;NQO2;NSFL1C;PARP14;PKM;PSMA6;PSMD1;PSMD12;PSME4;PTGES3;PTPN11;RAB10;RAB3GAP1;RHEB;SLC36A4;SLMAP;SPATS2;SRSF2;TALDO1;TET2;TRAF3IP1;USP14;USP47;VWA8,1,0.146341463414634,CD4 CM,#00AEEF,2,6,0.425100686830385,4.67610755513423,3,1.92682926829268,2.07317073170732,NA
bortezomib,24,t_cd4_cm,up,ZEB1_157,ZEB1,0.344966614388572,5.4983157545262e-09,7606,2617,328,103,0.891312879890977,ABI1;ACADVL;ADHFE1;AGTPBP1;AKAP9;APOOL;ARID3B;ATP2C1;BAZ2A;BICD1;BIRC6;CCDC186;CDKAL1;CSPP1;DNAJB6;DNTTIP2;DOCK2;E2F3;E2F6;ELMO1;ERC1;EXOC6B;FAF1;FTL;GAB2;GCLM;GLIPR1L1;GPI;GRB2;HELZ;HSD17B4;HSP90AB1;HSPA1B;HSPB1;HTT;IDS;INO80;INVS;JPT1;KCMF1;KEAP1;LGALS8;LUCAT1;MACO1;MAN1A2;MAN2B1;MED13;MSN;NCK1;NEAT1;NORAD;NQO2;NSFL1C;NSMAF;NUP205;PAFAH1B1;PHTF1;PKM;POC5;PSMA1;PSMA3;PSMA7;PSMB4;PSMC1;PSMD7;PSMD8;RAB10;RAD23B;RAD9A;RB1CC1;REX1BD;RHEB;RPTOR;SFXN5;SLCO3A1;SOD1;SP1;SQSTM1;SRGN;SRSF2;TBC1D19;TBC1D22A;TBCA;TBXAS1;TRAF3;TRG-AS1;TXNL1;TXNRD1;UBE2R2;UBQLN1;UBR2;UBR3;UBR4;UBXN4;UFD1;UMAD1;UNKL;USP5;VCP;VEZT;VPS29;XRN1;ZFAND5,1,0.314024390243902,CD4 CM,#00AEEF,2,6,0.700144414800652,7.00144414800652,4,1.84298780487805,2.15701219512195,NA
bortezomib,24,t_cd4_cm,up,IKZF1_270,IKZF1,-0.189236297915851,0.00556001295458145,7606,1347,328,54,0.748697892093014,ABI1;ANXA2;AP5Z1;CASS4;CDKAL1;CSPP1;CTSD;E2F3;ELMO1;FAF1;FLNA;GABARAPL1;GALNT10;GBE1;GRB2;HSD17B4;HSP90AB1;HSPA1B;HSPA8;HSPH1;HTATIP2;INO80;KCMF1;LIN54;MAN1A2;MED13;NEAT1;NORAD;NSMAF;PCYT1A;PRR3;PSMA7;PSMB1;PSMB4;PSMD13;PSMD2;PSME4;PTGES3;RAB10;RAD9A;RB1CC1;RHEB;RPTOR;RTN4;SFXN5;SNX10;SOD1;TBC1D22A;TRG-AS1;UBQLN1;UHRF1BP1L;WDR7;XIST;ZSWIM6,1,0.164634146341463,CD4 CM,#00AEEF,2,6,-0.957452098229904,-8.61706888406914,-3.5,1.91768292682927,2.08231707317073,NA
bortezomib,24,t_cd4_cm,up,TFDP2_308,TFDP2,0.25061105376171,1.09982279100326e-10,7606,1370,328,50,0.922597278232241,ABAT;ADRM1;AGTPBP1;ANAPC10;AP5Z1;ARHGAP31;BLMH;CAMK2G;CHPF2;CLTC;DCTN4;DENND5A;DNAJA1;DNAJC2;FLNA;FTX;GAB2;GCLM;GPI;HSD17B4;HSP90AB1;HSPA1A;HSPA1B;KCMF1;LPXN;LUCAT1;LY96;MAN1A2;MIR22HG;NEAT1;NMT1;NSMAF;PHTF1;PSMB3;PSMB6;RABGAP1L;RAD23A;RB1CC1;RFFL;RHEB;RTN4;SEC24D;SMG1;TBC1D22A;TBXAS1;UBB;UBR3;USP14;VWA8;WARS,1,0.152439024390244,CD4 CM,#00AEEF,2,6,0.643099975684443,4.5016998297911,2,1.92378048780488,2.07621951219512,NA
bortezomib,24,t_cd4_cm,up,E2F3_313,E2F3,0.38431112492746,8.19298581224035e-19,7606,1008,328,33,0.969697718242757,ARHGAP31;BAZ2A;BLMH;CASS4;CCDC186;CDYL2;CTSD;DNAJA1;DOCK2;ERC1;HSPA1A;HSPB1;HTATIP2;KCMF1;LAMP2;LINC01215;LY96;MED13;MSN;PRKCB;PRR3;PSMB2;PSMB7;PSMC1;PSMD1;PSMD12;PSME4;PTGES3;SNX10;SP1;SPATS2;TBK1;VWA8,1,0.100609756097561,CD4 CM,#00AEEF,2,6,0.463625477616677,4.1726292985501,1,1.94969512195122,2.05030487804878,NA
bortezomib,24,t_cd4_cm,up,ETS1_332,ETS1,-0.29156240024014,4.84382636492934e-06,7606,1285,328,51,0.768326379758013,ADRM1;AGTPBP1;ANXA2;BABAM1;BACH1;C9orf24;CFAP70;COP1;DYNC1LI1;ELMO1;FLNA;FTL;FTX;GAB2;GPATCH2;GSR;GSTP1;HS6ST1;HTATIP2;IDE;IDS;INO80;KEAP1;LAMP2;LINC01215;LUCAT1;LY96;MED13;NEAT1;NSFL1C;NSMAF;OLA1;PSMD12;PSME4;PTPN11;RABGAP1L;SNX10;SNX13;SQSTM1;SRSF2;STAM;TBC1D15;TBC1D22A;TET2;UBE4B;UBQLN1;USP14;USP47;VEZT;WDR7;ZFAND5,1,0.155487804878049,CD4 CM,#00AEEF,2,6,-0.567904763283339,-5.67904763283339,-1.5,1.92225609756098,2.07774390243902,NA
bortezomib,24,t_cd4_cm,up,IRF1_629,IRF1,-0.115606007950492,0.193567034811571,7606,4920,328,205,0.8177180989309,ABHD3;ABHD4;ABI1;ACADVL;ACAP2;ACO2;ADHFE1;ADRM1;AGTPBP1;AIM2;ALS2;ANXA2;AP3S2;AP5Z1;APOOL;ARHGAP31;ARID3B;ATP2C1;BAZ2A;BICD1;BIRC6;BRF2;BSDC1;C9orf24;CAMK2G;CASS4;CCDC186;CCDC32;CDKAL1;CDYL2;CLASP1;CLTB;CLTC;COP1;CSPP1;CTSD;DCTN4;DENND4C;DENND5A;DESI1;DNAJB6;DNAJC2;DNTTIP2;DOCK2;DYNC1LI1;E2F3;E2F6;ECPAS;ELMO1;ELMO1-AS1;EXOC6B;FAF1;FERMT3;FLNA;FLYWCH1;FTL;GAB2;GABARAPL1;GALNT10;GBE1;GBF1;GLA;GLYR1;GOLGB1;GPATCH2;GPI;GRB2;GSTP1;HELZ;HS6ST1;HSD17B4;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA8;HSPA9;HSPB1;HSPH1;IDS;IFI44;INO80;JPT1;KCMF1;KIAA0319;LAMP2;LGALS8;LIN54;LINC01215;LNPK;LPXN;LUCAT1;LY96;LYPLAL1;MAFG;MAN1A2;MAN2B1;MAP4K3;MED13;MIR22HG;MSN;NAA25;NEAT1;NEK1;NIT2;NMT1;NORAD;NQO2;NRDC;NSFL1C;NSMAF;NUP205;OLA1;PARP14;PCYT1A;PHTF1;PKM;POC5;PRKCB;PRR3;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMC1;PSMC4;PSMC6;PSMD1;PSMD11;PSMD12;PSMD4;PSMD7;PSMD8;PSME4;PTGES3;PTPN11;RAB3GAP1;RABGAP1L;RAD23B;RAD9A;RANBP2;RB1CC1;REX1BD;RFFL;RHEB;RPTOR;RTN3;RTN4;SEC24D;SFXN5;SLC10A7;SLC36A4;SLCO3A1;SLMAP;SNHG6;SNX10;SNX24;SP1;SPATS2;SQSTM1;SRGN;SRSF2;STAM;TALDO1;TAX1BP1;TBC1D22A;TBCA;TBK1;TBXAS1;TET2;TFDP2;THUMPD3-AS1;TMEM87A;TNKS;TRAF3;TRAF3IP1;TRG-AS1;TXNL1;TXNRD1;UBE2G1;UBE4B;UBQLN1;UBR2;UBR3;UBR4;UBXN4;UHRF1BP1L;ULK1;UNKL;USP47;USP5;VEZT;VPS29;WARS;WDR19;XRN1;ZEB1;ZFAND5;ZSWIM6,1,0.625,CD4 CM,#00AEEF,2,6,-0.696036186323234,-4.87225330426264,-0.5,1.6875,2.3125,NA
bortezomib,24,t_cd4_cm,up,STAT1_773,STAT1,-0.150913138992479,0.00674098293163685,7606,2741,328,111,0.817176298627881,ABAT;ABHD4;ABI1;ACAP2;ADHFE1;AGTPBP1;ANAPC10;ANXA2;AP5Z1;ARHGAP31;ATP2C1;BAZ2A;BRF2;CCDC32;CDYL2;CLTB;CLTC;COP1;DENND5A;DNAJB6;DNTTIP2;DYNC1LI1;E2F3;ECPAS;ELMO1;EXOC6B;FLNA;FLYWCH1;FSD1L;FTL;GAB2;GBP3;GPI;GSR;HELZ;HS6ST1;HSPA1A;HTR2B;IDE;IDS;IFI44;INO80;KCMF1;KCTD20;KIAA0319;KPNA3;LPXN;LUCAT1;LY96;MACO1;MAP4K3;MIR22HG;MSN;NCK1;NDUFA4;NEAT1;NIT2;NORAD;NQO2;NRDC;NSFL1C;NSMAF;NUP153;PHTF1;PKM;POC5;PRKCB;PRR3;PSMA1;PSMA6;PSMA7;PSMB3;PSMB7;PSMD1;PSMD2;PSMD4;RAB10;RAD23B;RAD9A;RANBP2;RB1CC1;RPTOR;RTN3;RTN4;SFXN5;SLC10A7;SLCO3A1;SLMAP;SOD1;SP1;SPATS2;SRGN;SRSF2;STAM;TALDO1;TBC1D15;TBCA;TBXAS1;TET2;TRAF3;TRAF3IP1;TRG-AS1;TXN;UBE2J2;UBR2;UBR3;UBR4;UMAD1;VCP;WARS;ZFAND5,1,0.338414634146341,CD4 CM,#00AEEF,2,6,-1.24300906433018,-9.9440725146414,-4.5,1.83079268292683,2.16920731707317,NA
bortezomib,24,t_cd4_cm,up,BCL11B_825,BCL11B,-0.390946497667373,2.45309896113889e-13,7606,4297,328,173,0.927249226033599,ABAT;ABHD3;ABHD4;ABI1;ACAP2;ADHFE1;AGTPBP1;AIM2;AKAP9;ANKRD39;ANXA2;AP3S2;AP5Z1;APOOL;ARHGAP31;ARID3B;ATP2C1;ATP6V0E1;BAZ2A;BICD1;BIRC6;BRF2;BSDC1;CAMK2G;CASS4;CDKAL1;CDYL2;CEP290;CFAP70;CLASP1;COP1;CRY2;CSPP1;DAP3;DCTN4;DENND5A;DESI1;DNAJB6;DNAJC2;DNTTIP2;DOCK2;DYNC1LI1;E2F3;E2F6;ELMO1;ERC1;EXOC6B;FERMT3;FLNA;FLYWCH1;GAB2;GALNT10;GBE1;GBF1;GLA;GLIPR1L1;GLYR1;GOLGB1;GPATCH2;HELZ;HS6ST1;HSD17B4;HSP90AA1;HSP90AB1;HSPA1A;HSPA8;HSPA9;HSPB1;HSPH1;HTATIP2;IDS;IFI44;INO80;KCMF1;LAMP2;LGALS8;LIN54;LINC01215;LNPK;LPXN;LUCAT1;LY96;MAN1A2;MAPRE3;MED13;MIR22HG;MSN;NAA25;NCK1;NDUFA4;NEAT1;NEK1;NMT1;NORAD;NQO2;NSMAF;NUP205;PARP14;PHTF1;PKM;POC5;PRKCB;PRR3;PSMA2;PSMA3;PSMA4;PSMA6;PSMB1;PSMB2;PSMB4;PSMC1;PSMC4;PSMD1;PSMD12;PSMD7;PSMD8;PSME4;PTGES3;RAB10;RAB3GAP1;RABGAP1L;RAD23B;RAD9A;RANBP2;RB1CC1;RFFL;RHEB;RPTOR;RTN3;RTN4;SFXN5;SLC10A7;SLCO3A1;SLMAP;SNHG6;SNX10;SNX24;SP1;SPATS2;SRGN;SRSF2;TALDO1;TAX1BP1;TBC1D15;TBC1D19;TBC1D22A;TBCA;TBXAS1;TET2;THUMPD3-AS1;TMEM87A;TRAF3;TRAF3IP1;TRG-AS1;TUBA1C;UBB;UBE2G1;UBE4B;UBQLN1;UBR2;UBR3;UBR4;UFD1;UHRF1BP1L;ULK1;USP14;USP5;VCP;VWA8;WARS;WDR19;ZFAND5;ZSWIM6,1,0.527439024390244,CD4 CM,#00AEEF,2,6,-0.758788934182187,-7.58788934182187,-2.5,1.73628048780488,2.26371951219512,NA
