treatment,timepoint,aifi_cell_type,direction,motif_id,tf_gene,tf_logFC,tf_adjP,n_all_genes,n_motif_genes,n_deg,n_ol,nomP,ol_genes,adjP,frac_deg,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,mean_logFC,sum_sig_logFC,ypos,xmin,xmax,plot_adjP
lenalidomide,24,t_cd4_cm,up,XBP1_109,XBP1,0.156911295917464,0.0290768061109053,7601,739,123,21,0.00726563824168908,ADGRE1;BCL11B;BTN3A1;DPYD;ERCC6L2;FYN;GPR132;HLA-E;IKZF1;ITPR1;LPP;MSI2;NEAT1;PPFIBP1;RASGRP3;RREB1;RSPH3;SLAMF1;STAT4;TBC1D22A;TIMP1,0.0213842994256141,0.170731707317073,CD4 CM,#00AEEF,2,6,0.293619358392898,1.46809679196449,4,1.91463414634146,2.08536585365854,1.66990497316372
lenalidomide,24,t_cd4_cm,up,KLF6_165,KLF6,-0.30724897892164,3.29691160972197e-07,7601,3063,123,41,0.954798473779456,ADGRE1;AHR;AQP3;ATP1A1;BCL11B;BTN3A1;CAMK4;CCDC88A;CDC42SE2;DDB2;DHRS3;EEF2K;ERN1;FYN;GPR132;GRAMD2B;HLA-C;HLA-F;IKZF1;ITGA1;ITM2B;KANTR;LEF1-AS1;LPP;MAP3K20;MAP4K3;NANS;NELL2;OXNAD1;PVT1;RREB1;SEC24D;SELENOM;SLC16A7;SLFN11;STAT4;STK3;STXBP5-AS1;TBC1D22A;TRANK1;TSPYL2,1,0.333333333333333,CD4 CM,#00AEEF,2,6,-0.253085166326658,-0.759255498979973,-3.5,1.83333333333333,2.16666666666667,NA
lenalidomide,24,t_cd4_cm,up,IKZF1_270,IKZF1,0.65150186682112,7.56289928822217e-53,7601,1354,123,31,0.0240785221354465,ADGRE1;AHR;BCL11B;CAMSAP2;CARMIL1;CLEC2D;ERN1;FYN;HIST1H2BG;HLA-F;IFI16;IKZF1;IL15;ITGA1;ITGA5;LPP;MYBL1;NEAT1;NELL2;OXNAD1;RABIF;RREB1;RSPH3;SLAMF1;STIM2;TBC1D22A;TIMP1;TRANK1;WASHC4;WSB1;ZC4H2,0.0606955693236741,0.252032520325203,CD4 CM,#00AEEF,2,6,0.428216442976578,5.13859731571893,5,1.8739837398374,2.1260162601626,NA
lenalidomide,24,t_cd4_cm,up,ETS1_332,ETS1,-0.25291138418066,7.60057924087597e-08,7601,1268,123,18,0.765421324292264,AQP3;BCL11B;CAMK4;CDC42SE2;EZH2;HLA-C;HLA-E;IKZF1;NEAT1;NELL2;PLEKHA5;RREB1;SLC16A7;TBC1D22A;TNF;TSPYL2;WASF1;WSB1,1,0.146341463414634,CD4 CM,#00AEEF,2,6,-0.269793465349626,-1.34896732674813,-4.5,1.92682926829268,2.07317073170732,NA
lenalidomide,24,t_cd4_cm,up,MYB_648,MYB,-0.0855512205363846,0.00571104218519312,7601,1009,123,21,0.13299964371084,ADGRE1;BCL11B;BTN3A1;CDC42SE2;DENND4C;DHRS3;EEF2K;EZH2;GRN;IFI16;IFIH1;IKZF1;NEAT1;NELL2;RSPH3;SLAMF1;SOGA3;STAT4;TRANK1;TSPYL2;ZC4H2,0.269172236368704,0.170731707317073,CD4 CM,#00AEEF,2,6,-0.17791737932474,-0.533752137974221,-2.5,1.91463414634146,2.08536585365854,NA
lenalidomide,24,t_cd4_cm,up,MYBL1_653,MYBL1,0.359577714218354,2.37793939891654e-11,7601,390,123,6,0.609745613205855,ATP1A1;BCL11B;EEF2K;HLA-E;IL15;NELL2,0.976025169396259,0.0487804878048781,CD4 CM,#00AEEF,2,6,0.350498442992345,1.05149532897704,2,1.97560975609756,2.02439024390244,NA
lenalidomide,24,t_cd4_cm,up,STAT1_773,STAT1,0.069387198178828,0.766007140449171,7601,2742,123,52,0.0895536836336915,ADGRE1;AHR;ATP10D;ATP1A1;BCL11B;BTN3A1;CAMK4;CARMIL1;CDC42SE2;CTNNA1;DHRS3;EEF2K;EZH2;FYN;GPR132;GRAMD2B;GRN;HBEGF;HLA-C;HLA-DQB1;HLA-E;HLA-F;IFI16;IFIH1;IKZF1;IL15;ITGA5;ITPR1;LEF1-AS1;LEPROTL1;LPP;MAP4K3;MLKL;NEAT1;NELL2;NPC2;OXNAD1;PTPN6;RASGRP1;RASGRP3;RSPH3;SETD7;SLC11A2;STAT4;STIM2;STK3;TRANK1;TRIM22;TSPYL2;TXNIP;WSB1;ZC4H2,0.191157583968995,0.422764227642276,CD4 CM,#00AEEF,2,6,0.286460694561351,0.859382083684054,1,1.78861788617886,2.21138211382114,NA
lenalidomide,24,t_cd4_cm,up,CBFB_801,CBFB,-0.0680636030607824,0.61348968043128,7601,2621,123,54,0.018168942014521,AHR;BCL11B;C12orf57;CAMK4;CARMIL1;CDC42SE2;CLEC2D;CSNK1A1;DDB2;DGKH;DHRS3;EEF2K;ERCC6L2;ERN1;EZH2;FYN;HBEGF;HIST1H2BD;HLA-E;IFI16;IKZF1;ITGA1;ITGA5;KCTD3;LEF1-AS1;LEPROTL1;LPP;LRP6;MAP3K20;MSI2;NANS;NEAT1;NPC2;OXNAD1;PGGHG;PLEKHA5;PPFIBP1;PTPN22;RASGRP1;RREB1;RSPH3;SAP30;SLAMF1;SLC16A7;SLC44A1;SLFN11;SOGA3;STK3;TAF4B;TBC1D22A;TRANK1;TSPYL2;TXNIP;WSB1,0.0474810345798958,0.439024390243902,CD4 CM,#00AEEF,2,6,-0.147339385377116,-0.294678770754232,-1.5,1.78048780487805,2.21951219512195,1.32347982662889
lenalidomide,24,t_cd4_cm,up,ENO1_803,ENO1,-0.157104806002899,0.0080192625251697,7601,1672,123,37,0.0218091293249195,AHR;AQP3;BCL11B;CAMK4;CDC42SE2;CSNK1A1;DHRS3;EEF2K;ERN1;EZH2;GPR132;GRAMD2B;HLA-E;HLA-F;IFIH1;ITGA1;ITM2B;KANTR;LRP6;MLKL;MSI2;NEAT1;OXNAD1;PTPN6;RASGRP1;SLAMF1;SLC16A7;SLC44A1;SLFN11;STIM2;STK3;TBC1D22A;TRANK1;TRIM22;TXNIP;WSB1;ZC4H2,0.0556522979948511,0.300813008130081,CD4 CM,#00AEEF,2,6,-0.147328332954094,-0.294656665908187,-0.5,1.84959349593496,2.15040650406504,NA
lenalidomide,24,t_cd4_cm,up,BCL11B_825,BCL11B,0.22748665126415,4.61007334813325e-05,7601,4286,123,78,0.0669609216161,AHR;AQP3;ATP1A1;BCL11B;C12orf57;CAMK4;CARMIL1;CDC42SE2;CLEC2D;CTNNA1;DHRS3;DYNC2H1;EEF2K;ERCC6L2;ERN1;EZH2;FYN;GOLGB1;GPR132;GRAMD2B;GRN;HERC6;HIST1H1D;HIST1H2BD;HLA-C;HLA-DQB1;HLA-E;HLA-F;IFI16;IFIH1;IKZF1;IKZF3;IL15;ITGA1;ITGA5;ITM2B;KANTR;LEF1-AS1;LEPROTL1;LINC00623;LPP;MLKL;MSI2;MYBL1;NANS;NEAT1;NELL2;NF1;OXNAD1;PGGHG;PPFIBP1;PTPN22;RASGRP1;RASGRP3;RPS27L;RREB1;RSPH3;SELENOM;SETD7;SLAMF1;SLC11A2;SLC16A7;SLFN11;SOGA3;STAT4;STIM2;STK3;STXBP5-AS1;TBC1D22A;TIA1;TIMP1;TRANK1;TSPYL2;TXNIP;UNC13B;WASF1;WSB1;ZC4H2,0.14829536713127,0.634146341463415,CD4 CM,#00AEEF,2,6,0.221955636978378,1.10977818489189,3,1.68292682926829,2.31707317073171,NA
