aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,dexamethasone,dmso,up,ARID5B_7,ARID5B,3.85066909796771,0.000483392602516084,0.00435053342264476,2.36145749056068,3.3157,0.0424955662180183,72737,3091,0.163636363636364,55,9,4,2.1784908260109e-05,0.190115686919037,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,ARID3B_8,ARID3B,2.55648800270362,0.00125660852007633,0.011309476680687,1.94655749056068,2.9008,0.0924563839586455,72737,6725,0.236363636363636,55,13,4,0.247936501874166,-0.0632664840403678,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARID5A_9,ARID5A,1.66890866479833,0.123509396601486,1,0,0.9083,0.0762610500845512,72737,5547,0.127272727272727,55,7,4,9.0248764138222e-08,0.20311352320295,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,ARID2_11,ARID2,0.597061358506054,0.81752303794365,1,0,0.0875,0.0304521770213234,72737,2215,0.0181818181818182,55,1,4,0.000188310882783366,0.199553039706438,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,HMGA1_12,HMGA1,1.33551215257855,0.246206775302122,1,0,0.6087,0.108912932895225,72737,7922,0.145454545454545,55,8,4,0.39949871587337,-0.0235891217416918,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MAX_14,MAX,0.417321208296279,0.913692373681454,1,0,0.0392,0.0435679227903268,72737,3169,0.0181818181818182,55,1,4,0.0865343635290929,0.0575841071387002,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,TFE3_18,TFE3,0.547615283267457,0.843917514030476,1,0,0.0737,0.0332018092580117,72737,2415,0.0181818181818182,55,1,4,0.890622729614319,0.0104463165728504,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MNT_20,MNT,0.584397220102037,0.82432790167598,1,0,0.0839,0.0311120887581286,72737,2263,0.0181818181818182,55,1,4,0.457825492722706,-0.0233661749625846,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,HIF1A_24,HIF1A,0,1,1,0,0,0.0306309031167081,72737,2228,0,55,0,4,0.124979337773763,-0.0646104045029775,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,USF2_26,USF2,0,1,1,0,0,0.0443653161389664,72737,3227,0,55,0,4,0.897849498263486,-0.0123808967976649,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,AHR_28,AHR,1.26877925400471,0.423058085776523,1,0,0.3736,0.0429905000206222,72737,3127,0.0545454545454545,55,3,4,0.187797249344041,-0.116774669552896,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MLX_29,MLX,0,1,1,0,0,0.0246916974854613,72737,1796,0,55,0,4,0.845996791145132,0.0134108574913364,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ID2_35,ID2,1.06181526221671,0.566108922633216,1,0,0.2471,0.0342466695079533,72737,2491,0.0363636363636364,55,2,4,0.781641396745391,0.0219268833004262,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MXI1_40,MXI1,0.417189561227416,0.913902783348755,1,0,0.0391,0.0435816709515102,72737,3170,0.0181818181818182,55,1,4,0.755953670253542,0.0220944693835609,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARNTL_50,ARNTL,0.656975116289572,0.786502305458658,1,0,0.1043,0.0276750484622682,72737,2013,0.0181818181818182,55,1,4,0.352336847309678,0.0529131748837107,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,BHLHE40_51,BHLHE40,0,1,1,0,0,0.0281149896201383,72737,2045,0,55,0,4,0.396182465787831,-0.0554349351881281,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CLOCK_53,CLOCK,0,1,1,0,0,0.0177076316042729,72737,1288,0,55,0,4,0.379694207020523,-0.0647952393532186,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MYC_55,MYC,0.40319844789357,0.921085615448421,1,0,0.0357,0.0450939686816888,72737,3280,0.0181818181818182,55,1,4,0.527977978822599,-0.0301988377563899,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,TCF12_56,TCF12,0.516396294061269,0.960948249528277,1,0,0.0173,0.140836163163177,72737,10244,0.0727272727272727,55,4,4,0.930873938116569,-0.0287339754405673,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARNT_57,ARNT,0,1,1,0,0,0.0198111002653395,72737,1441,0,55,0,4,0.00163009699370363,-0.12156183454293,dn,CD4 CM,#00AEEF,2,6,dodgerblue
