aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,n_up,n_dn,max_logFC,y,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,experiment,x,fill
t_cd4_cm,4,dexamethasone,dmso,981,ABCC1,0.263204417216574,1.07618343563458,0.559370446696053,3.9118648511414e-41,1.70926761412373e-38,1,up,1,0,0.600880231732503,58,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#D3A0A0
t_cd4_cm,4,dexamethasone,dmso,981,ABLIM1,-0.0795048042102224,-0.520321038328421,-0.246756007373202,1.64592771153157e-08,7.31368443570386e-07,-1,dn,0,1,-0.36591125930808,37,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#D5D5EB
t_cd4_cm,4,dexamethasone,dmso,981,AC079793.1,-0.158179808624412,-0.539751893458266,-0.322505077061767,4.77649168147444e-13,3.44652358484371e-11,-1,dn,0,2,-0.510175004525625,16,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#C7C7E5
t_cd4_cm,4,dexamethasone,dmso,981,ACTB,-0.0588966464906001,-0.297387565819737,-0.152480494994657,0.000380252603754701,0.00733011453071255,-1,dn,0,4,-0.476974655251025,21,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#E4E4F3
t_cd4_cm,4,dexamethasone,dmso,981,ADK,-0.357342234085773,-0.881980358038271,-0.541411369529066,8.67058652346942e-29,2.19981170990603e-26,-1,dn,0,3,-0.541411369529066,12,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#A3A3D5
t_cd4_cm,4,dexamethasone,dmso,981,AHR,-0.0653077570599483,-0.188450290936678,-0.116774669552896,0.0252624907572785,0.187797249344041,-1,dn,0,1,-0.39618438948002,31,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#EBEBF5
t_cd4_cm,4,dexamethasone,dmso,981,ANKRD33B,-0.0227796199377504,1.72155048208759,0.108475941051306,2.28902510577959e-12,1.57922653131197e-10,1,up,1,0,0.420835469637229,52,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#F6ECEC
t_cd4_cm,4,dexamethasone,dmso,981,ARHGAP15,-0.379212750750979,-0.803661956508,-0.48870580340266,6.56230338323296e-31,2.06450064436509e-28,-1,dn,0,6,-0.585609324480229,8,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#ABABD9
t_cd4_cm,4,dexamethasone,dmso,981,ARHGAP25,-0.302466300209927,-1.16323830769983,-0.656768157723624,3.00853372863774e-44,1.69015126969542e-41,-1,dn,0,5,-0.656768157723624,4,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#8F8FCC
t_cd4_cm,4,dexamethasone,dmso,981,ARID5B,0.135173728391117,0.581161922575317,0.190115686919037,6.1213791805265e-07,2.1784908260109e-05,1,up,1,0,0.872375451657551,78,CD4 CM,#00AEEF,2,6,CD4 CM 4 hr,2,#F0DEDE
