gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
A1BG-AS1,0.0154951052611709,0.674347979931768,no,-0.00820023990598782,0.887152588075823,no,gray80
AAGAB,-0.008114539890717,0.953270808875715,no,0.00208545610754293,0.653752979639145,no,gray80
AAK1,-0.0741105845706338,0.274270946908887,no,0.0704574711162265,0.402939055614309,no,gray80
AAMDC,-0.00880048868045988,0.83326188832044,no,0.0619582890071629,0.0658727105752709,no,gray80
AAR2,0.00986701554573906,0.845758507791502,no,-0.0111853266032189,0.809760751594785,no,gray80
AARS,-0.0913241581871958,0.000130486687166145,dn,-0.0284229662153442,0.107448486629243,no,skyblue
AARSD1,0.0166116526656708,0.623527795188768,no,0.0222468982353544,0.577948153526621,no,gray80
AASDH,-0.0422729900338362,0.200852886156151,no,-0.0265159941880641,0.677542442342075,no,gray80
AASDHPPT,0.00151051247273636,0.892135911239852,no,0.00172725565326565,0.873057811161504,no,gray80
AATF,-0.0521917289060135,0.213440594411587,no,-0.0486604273392068,0.371434687497776,no,gray80
ABAT,0.0091201349184831,0.884158493526223,no,0.0133558290101156,0.832675107360113,no,gray80
ABCA3,0.0140320183094237,0.724546383575719,no,-0.0155356632746512,0.708709079468112,no,gray80
ABCA5,-0.0442117006225334,0.363799707402279,no,0.0722735840405408,0.192418853069579,no,gray80
ABCA7,0.0170803649101093,0.32460413159695,no,0.0396233897025396,0.232465690514382,no,gray80
ABCB10,0.0120810611979872,0.833236576477675,no,-0.0145278798006927,0.719902006798804,no,gray80
ABCB7,-0.0524912520752494,0.118098187567261,no,0.0792244229644553,0.072859306789152,no,gray80
ABCB8,0.00174946924166894,0.952950880369303,no,-0.0150718055844042,0.280006388651378,no,gray80
ABCC1,0.385426558975417,8.64524154862652e-34,up,-0.146857801543441,0.0011367181450233,dn,limegreen
ABCC10,-0.0287180526362825,0.121614475925757,no,-0.0232169694259839,0.416175232347492,no,gray80
ABCC4,-0.0215776078019758,0.618929168495668,no,0.0272126734331672,0.593165317072315,no,gray80
ABCC5,-0.0136211246337971,0.745116012595084,no,-0.0211941085550275,0.74667324522721,no,gray80
ABCD2,-0.0870343001684528,0.00163619051652224,dn,0.0252169136794981,0.654830581679363,no,skyblue
ABCD3,0.05220550607396,0.136198346783794,no,0.0221817450670089,0.806135864978228,no,gray80
ABCD4,-0.00212701128321122,0.985475329500915,no,0.0159101214498948,0.794283425147134,no,gray80
ABCE1,-0.0129942263615161,0.811603739187315,no,-0.0302677521128445,0.34280855504926,no,gray80
ABCF1,-0.0102298129389599,0.665749318871727,no,0.012087303292299,0.600973648708439,no,gray80
ABHD10,-0.00148198863601645,0.891887536050374,no,-0.00786763154066172,0.953889887397632,no,gray80
ABHD12,0.0250299578938442,0.179777049146381,no,0.00407838297714724,0.868822733918028,no,gray80
ABHD13,-0.0554963181974486,0.0163181032355372,dn,0.0123116065426852,0.604716663569355,no,skyblue
ABHD14A,-0.0424466157968033,0.00319273854678427,dn,-0.0126337153101127,0.825932176108231,no,skyblue
ABHD15-AS1,-0.0215851195446326,0.71372822893564,no,-0.0243325654528593,0.645496872044507,no,gray80
ABHD16A,-0.0100693487500389,0.821150205245406,no,-0.000685193235903672,0.955056391856763,no,gray80
ABHD17A,-0.0092810525188541,0.852906976052223,no,-0.0227715380896345,0.461873735024282,no,gray80
ABHD17B,-0.0252886819042298,0.180953101012215,no,-0.00591679368077225,0.124710097505448,no,gray80
ABHD18,0.136663957566538,0.000346034419824802,up,0.0214599315949001,0.906606137127931,no,orange
