aifi_cell_type,gene,fg,timepoint,treat_time,logFC,nomP,adjP,treat_order,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,CD69,bortezomib,4,bortezomib_4,-0.0209907934321046,0.919898686032378,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,CD74,bortezomib,4,bortezomib_4,-0.0587498243703526,0.20638059833475,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,CXCR4,bortezomib,4,bortezomib_4,-0.0232751826984832,0.644995992927286,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL2RA,bortezomib,4,bortezomib_4,0.024137651973883,0.0887226666698452,0.975806793470908,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL6ST,bortezomib,4,bortezomib_4,-0.0588252241036051,0.379981494558252,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL7R,bortezomib,4,bortezomib_4,-0.0221241827017364,0.735637291446322,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,SLAMF1,bortezomib,4,bortezomib_4,-0.0440111992923553,0.510968462946468,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_cm,TNFRSF4,bortezomib,4,bortezomib_4,-0.0197041533519553,0.763627288655683,0.999236992731244,5,CD4 CM,#00AEEF,2,6
t_cd4_em,CD69,bortezomib,4,bortezomib_4,0.182890645714941,0.133805160531485,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,CD74,bortezomib,4,bortezomib_4,-0.0458502872497267,0.738013293700051,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,CXCR4,bortezomib,4,bortezomib_4,-0.0353516013691482,0.638000129057239,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,IL2RA,bortezomib,4,bortezomib_4,0.0337301471166336,0.933914464463196,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,IL6ST,bortezomib,4,bortezomib_4,-0.0568989592664281,0.753251346437504,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,IL7R,bortezomib,4,bortezomib_4,-0.185119385323715,0.149054848979625,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,SLAMF1,bortezomib,4,bortezomib_4,0.15605957901032,0.0073938427364427,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_em,TNFRSF4,bortezomib,4,bortezomib_4,-0.0674442644241863,0.783604717121188,0.995791877883449,5,CD4 EM,#1C75BC,3,5
t_cd4_naive,CD69,bortezomib,4,bortezomib_4,0.043891679557025,0.309729212072658,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CD74,bortezomib,4,bortezomib_4,0.000584710670812449,0.352818754801955,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CXCR4,bortezomib,4,bortezomib_4,0.0883015227223043,0.0656911973636155,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL2RA,bortezomib,4,bortezomib_4,-0.0342197304474174,0.210092496572139,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL6ST,bortezomib,4,bortezomib_4,0.0424816396528226,0.524457617647016,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL7R,bortezomib,4,bortezomib_4,-0.0415954680311334,0.397516575803075,0.998282025136458,5,CD4 Naive,#93A7D1,1,7
t_cd4_treg,CD69,bortezomib,4,bortezomib_4,0.066211247373978,0.597905132082332,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,CD74,bortezomib,4,bortezomib_4,0.0548424165132297,0.323259123956743,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,CXCR4,bortezomib,4,bortezomib_4,-0.238124925869059,0.260832397624319,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL2RA,bortezomib,4,bortezomib_4,-0.0119919758615312,0.558409893038663,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL6ST,bortezomib,4,bortezomib_4,-0.264613685937695,0.0495060095815323,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL7R,bortezomib,4,bortezomib_4,-0.030205499607988,0.831738220946996,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,SLAMF1,bortezomib,4,bortezomib_4,0.225413368162095,0.0970552772742456,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd4_treg,TNFRSF4,bortezomib,4,bortezomib_4,0.000738704767692139,0.772699662205035,0.999922237788357,5,CD4 Treg,#E57A93,4,4
t_cd8_memory,CD69,bortezomib,4,bortezomib_4,-0.122778410210305,0.0221810631550355,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,CD74,bortezomib,4,bortezomib_4,0.0867987155872428,0.315820738797677,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,CXCR4,bortezomib,4,bortezomib_4,0.249812307984053,0.0846046184680369,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,IL2RA,bortezomib,4,bortezomib_4,-0.017400142269544,0.924487024485656,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,IL6ST,bortezomib,4,bortezomib_4,0.0151228260957041,0.453869224417703,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,IL7R,bortezomib,4,bortezomib_4,0.0204660349911773,0.739272101352607,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_memory,SLAMF1,bortezomib,4,bortezomib_4,-0.284329535354048,0.00378536255045639,0.997306958035306,5,CD8 Memory,#009444,6,2
t_cd8_naive,CD69,bortezomib,4,bortezomib_4,0.0880371229033147,0.242776988443064,0.995116396338905,5,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CD74,bortezomib,4,bortezomib_4,-0.0184718219868479,0.197864640463863,0.995116396338905,5,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CXCR4,bortezomib,4,bortezomib_4,-0.0918504204765456,0.0829083991490341,0.995116396338905,5,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL2RA,bortezomib,4,bortezomib_4,0.00358741683405404,0.992262748827402,0.999353326978024,5,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL6ST,bortezomib,4,bortezomib_4,0.0727384235095452,0.03347298062994,0.995116396338905,5,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL7R,bortezomib,4,bortezomib_4,0.0722451671910878,0.203187432900159,0.995116396338905,5,CD8 Naive,#8DC63F,5,3
t_cd4_cm,CD69,bortezomib,24,bortezomib_24,-0.250682560520276,1.04482159306792e-07,4.79714303325348e-06,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,CD74,bortezomib,24,bortezomib_24,-0.0669833163354827,0.0499973785454241,0.232116307583037,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,CXCR4,bortezomib,24,bortezomib_24,-0.307844825848335,6.31580346734467e-10,4.03356651515982e-08,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL2RA,bortezomib,24,bortezomib_24,-0.199797080533431,2.20305505153222e-05,0.000596065902608607,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL6ST,bortezomib,24,bortezomib_24,-0.0796669026427954,0.148235077541712,0.423087617150302,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,IL7R,bortezomib,24,bortezomib_24,-0.107885419674484,0.030075783852239,0.171798055172104,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,SLAMF1,bortezomib,24,bortezomib_24,-0.115816393278399,0.00190878135108455,0.0249818009185087,6,CD4 CM,#00AEEF,2,6
t_cd4_cm,TNFRSF4,bortezomib,24,bortezomib_24,-0.106232259871228,0.00428845694037002,0.0463437064268486,6,CD4 CM,#00AEEF,2,6
t_cd4_em,CD69,bortezomib,24,bortezomib_24,-0.298681768842079,0.00318726701005765,0.094687993851454,6,CD4 EM,#1C75BC,3,5
t_cd4_em,CD74,bortezomib,24,bortezomib_24,0.00848994919797336,0.474508169793035,0.886932733417366,6,CD4 EM,#1C75BC,3,5
t_cd4_em,CXCR4,bortezomib,24,bortezomib_24,-0.322243441430757,0.00142271441316054,0.0541088311904314,6,CD4 EM,#1C75BC,3,5
t_cd4_em,IL2RA,bortezomib,24,bortezomib_24,0.0126483426370392,0.96587287431188,0.996261499018812,6,CD4 EM,#1C75BC,3,5
t_cd4_em,IL6ST,bortezomib,24,bortezomib_24,0.108820186453442,0.160148722465948,0.659896289772544,6,CD4 EM,#1C75BC,3,5
t_cd4_em,IL7R,bortezomib,24,bortezomib_24,-0.267504481901354,0.0467754583324682,0.401881165838854,6,CD4 EM,#1C75BC,3,5
t_cd4_em,SLAMF1,bortezomib,24,bortezomib_24,-0.148341969906401,0.0837886710137229,0.515439571499727,6,CD4 EM,#1C75BC,3,5
t_cd4_em,TNFRSF4,bortezomib,24,bortezomib_24,-0.154286530374314,0.017153627426199,0.250388600335592,6,CD4 EM,#1C75BC,3,5
t_cd4_naive,CD69,bortezomib,24,bortezomib_24,-0.0958910123192016,0.00943007582208553,0.117434353761766,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CD74,bortezomib,24,bortezomib_24,-0.0255111560366871,0.4102711587479,0.738160869715316,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CXCR4,bortezomib,24,bortezomib_24,-0.163773440480037,1.44868435772877e-05,0.00073101375156445,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL2RA,bortezomib,24,bortezomib_24,-0.0784918783208394,0.00170726599476634,0.0345436470818292,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL6ST,bortezomib,24,bortezomib_24,-0.0509882447164318,0.380427758636713,0.719359284879897,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL7R,bortezomib,24,bortezomib_24,0.0755431410582591,0.0370074508680573,0.25796461600031,6,CD4 Naive,#93A7D1,1,7
t_cd4_naive,SLAMF1,bortezomib,24,bortezomib_24,0.00132278152279858,0.908169209908183,0.964772554016034,6,CD4 Naive,#93A7D1,1,7
t_cd4_treg,CD69,bortezomib,24,bortezomib_24,0.0280096294330593,0.906542950025667,0.999998222324989,6,CD4 Treg,#E57A93,4,4
t_cd4_treg,CD74,bortezomib,24,bortezomib_24,-0.342424910253575,0.0251775340691083,0.532047807241223,6,CD4 Treg,#E57A93,4,4
t_cd4_treg,CXCR4,bortezomib,24,bortezomib_24,-0.25480327627494,0.19979376734063,0.999998222324989,6,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL2RA,bortezomib,24,bortezomib_24,-0.503773994506429,0.00808750061846069,0.370881769199462,6,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL6ST,bortezomib,24,bortezomib_24,-0.0921744196084664,0.661957750829879,0.999998222324989,6,CD4 Treg,#E57A93,4,4
