aifi_cell_type,timepoint,n_treat,bor,len,dex,n_genes,genes,top_genes,ypos
t_cd4_naive,24,2,nc,up,dn,77,ABLIM1;AC139887.2;ACVR1;AL109930.1;ALPK1;AQP3;ARL15;ATM;ATXN7L1;BBX;BTLA;C1orf112;CAMK4;CANX;CARMIL1;CCR7;CD226;CD28;CD3D;CD40LG;CD74;CD96;CDC42SE2;CLEC2D;DHRS3;DNAJC3;EIF2AK2;EPB41L2;EXT1;FCMR;FYB1;GPR155;H2AFZ;HSP90B1;HSPA5;ICOS;IFI16;IFIH1;ITM2B;LBH;LEPROTL1;LGALS3BP;LINC01138;MAML2;NELL2;NF1;NPC2;OPRM1;OSTC;PARP14;PARP8;PBX3;PDE4D;PDIA3;PECAM1;PHF21A;PKIA-AS1;RNASEK;RNF213;SARAF;SELENOM;SELL;SLC12A6;SND1;SPCS2;SPON1;SSR3;TESPA1;TMEM39A;TPK1;TRANK1;TRERF1;TSHZ2;TSPAN5;UBAC2;XAF1;XRN1,CLEC2D;SELL;TSHZ2;CD74,20
t_cd4_naive,24,2,dn,nc,dn,66,ABCD2;AC008105.3;ACTN1;APOL6;ARID1A;ATF7IP2;BTBD11;CBLB;CCDC141;CCND2;CD27;CD4;CEP85L;CHMP7;CTSC;DPH6;EMP3;FDPS;FKBP11;FRY;GARS;GBP1;GIMAP7;GRAP2;HIVEP2;HM13;ID2;IFITM1;IPCEF1;IRF1;IRF9;ITM2A;LINC00861;LINC01876;LPGAT1;MAN1C1;MT-CO1;PSMB9;PSME2;PSTPIP2;PTMA;PTPRC;RASGRF2;RNASET2;RPN2;SCML4;SIK3;SLC39A10;SPTBN1;ST6GAL1;ST8SIA6;SUB1;TAFA1;TAP1;TCF7;TECR;TNFSF10;TRAC;TRAF3IP3;TRBC1;TRBC2;TRIB2;UBASH3A;UBE2L6;ZBTB25;ZMIZ1,TRBC2;MAN1C1;GRAP2,19
t_cd4_naive,24,2,nc,dn,up,59,ABCC1;AC092683.1;ARL4C;BDH1;CASP3;CBFB;CCSER2;CELF2;CMTM3;CNKSR2;DENND6A;DOP1B;EIF2AK3;FLACC1;IFNGR2;IL4R;IL7R;IQGAP1;JAZF1;LCP2;LINC00342;LINC00513;LNPEP;MAP4;MKRN1;MMP25-AS1;MYO9A;NSMCE1-DT;PBX4;PCED1B;PDE4B;PPP3CA;PPP4R1;PRKCQ;PTPN7;PUDP;RASGRP2;RCSD1;RIPOR2;SAMHD1;SHLD2;SIPA1L1;SLC25A24;SRD5A1;STRADB;STX2;SUSD1;SVIL;TAB2;TENT4A;TRADD;TRAK2;TXK;UBE2E2;UGP2;UPP1;UXS1;VPS8;ZDHHC2,IL7R;SRD5A1;IFNGR2,18
t_cd4_naive,24,2,nc,dn,dn,54,AC004687.1;AC079793.1;AKAP13;AL589693.1;AL691403.1;ATP2B1-AS1;BACH2;CD247;CD44;CDC14A;CDC25B;CISH;DAB1;DGLUCY;EIF4G3;FAM229B;FLT3LG;FOXO1;HAPLN3;IFI6;IGSF9B;IL10RA;IL32;ITGAL;ITGB7;KATNA1;KDM7A;KLF2;KLF3;KLF6;LDLR;MEF2A;MEGF9;MGAT4A;NCOA3;NFATC2;OSBPL3;PIM1;PLCL2;POT1-AS1;PSAT1;RNF144A;S100A6;SEPTIN6;SLC38A2;SLC3A2;SLC9A9;SSH2;SUN1;TAOK3;TUBA1A;VOPP1;YARS;ZFC3H1,CD44;MGAT4A;SEPTIN6,17
t_cd4_naive,24,2,dn,dn,nc,49,AC093157.1;AFF3;CARS;CHRM3;CHRM3-AS2;COX5A;CYBA;DGKA;DKC1;DLEU1;DLEU2;DNMT3A;DUSP16;EEF1A1;EPB41L5;ESR1;FTCDNL1;HEG1;L3MBTL3;LONRF1;LSM7;MACF1;MLLT3;MT-CO2;MT-ND5;NCK2;NIN;NUP93;PDE9A;PFKL;PITPNM2;PPIA;RPL10;RPL13;RPL22;RPP38;RPS6KA5;SLC16A1-AS1;SLC49A4;SLC7A1;SMARCA4;SMCHD1;SMIM27;SNHG25;SPOCK2;SYNE3;TMEM131L;TSPO;YBX1,CYBA;SLC49A4;RPS6KA5,16
t_cd4_naive,24,3,dn,up,dn,37,AC245297.3;APOL3;ATP1A1;B2M;BTG2;BTN3A1;DOCK10;EPSTI1;FAAH2;FOXP1;GBP2;GBP4;GBP5;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IGF1R;IKZF3;INPP4B;LINC00623;LPP;LRRN3;PARP9;PDE7A;PPIB;PTPN22;SSR4;STAT1;STAT2;STAT4;TIMP1;TMED9;TRAM1;TRIM14;TTC39C,STAT1;GBP2;LPP,15
t_cd4_naive,24,3,dn,dn,dn,34,AC016074.2;AC092821.3;AC139720.1;ACTB;ADAMTS17;AK5;AL117381.1;AP3M2;ARHGAP15;ARHGEF3;CCDC69;CD48;CDK6;CYLD;EPHA4;FAM107B;FAM13A;GLG1;GSTK1;ITGA4;LINC01934;LITAF;LPIN2;LTB;MAP3K1;MT-ATP6;NOTCH2;PCSK5;PDK1;PGAP1;SAMD3;SOS1;SP110;ZCCHC7,LTB;FAM13A;ARHGEF3,14
t_cd4_naive,24,2,up,up,nc,32,AKAP9;ANXA4;APC;ARFGAP3;CHIC1;CREM;CWF19L2;DENND4C;DYNC1LI1;E2F3;ELMO1;FTO;GOLGB1;HELB;KLHL3;LUC7L;MAP4K3;NEAT1;NEPRO;OTULIN;PARP4;PCM1;PDE8A;PHYKPL;SEC22B;SEC24D;THEM4;TRRAP;VEZT;WWOX;ZEB1;ZNF43,NEAT1;ELMO1;AKAP9,13
t_cd4_naive,24,3,dn,dn,up,29,ADGRE5;ARID5B;BCL2;CHST11;CXCR4;DOCK3;DPP4;ERO1A;ETS1;FKBP5;GNG2;GPR171;IL2RA;IQGAP2;KAT2B;MDFIC;MYB;MYL12A;NFKBIZ;PIK3R5;PRKCA;PRKCQ-AS1;PTGER2;RALGAPA2;RNF157;SNTB1;STK17B;STT3B;TRAT1,CXCR4;BCL2;FKBP5;IL2RA,12
t_cd4_naive,24,2,dn,nc,up,27,AC104170.1;ALDH3A2;ANTXR2;ARL6IP5;CAMK1D;CD47;CD69;CEMIP2;DACT1;DGKH;LINC01500;LRRC8C;MBNL1;SEPTIN11;SOCS2-AS1;SRP14-AS1;SUPT5H;TARBP1;TMF1;TNIK;TSC22D3;TTC39B;TXNIP;UGCG;USP3;VAV3;ZFP36L2,CEMIP2;TXNIP;MBNL1;CD69,11
