barcodes,treatment,timepoint,seurat_clusters,aifi_cell_type,cell_type_label,cell_type_color,UMAP_1,UMAP_2,treatment_color,timepoint_color
ca760206fb7b11ed8d7c62b1232be981,dmso,24,6,t_cd4_naive,CD4 Naive,#93A7D1,-4.09779107436688,1.56746213408201,#000000,#F29727
3891daa6fb8311ed9fae72654f839162,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.93276154861004,2.84892194243162,#000000,#F29727
faa1892eff2111edaa5fda2b1e723be2,dmso,24,6,t_cd4_naive,CD4 Naive,#93A7D1,-2.69134032592327,1.75741426916807,#000000,#F29727
98cd4e8afb8011edb519365d129239e0,dmso,24,1,t_cd4_em,CD4 EM,#1C75BC,10.0553199066207,-2.49551208047182,#000000,#F29727
95bcf88efb8111ed99031af2246d8fa2,dmso,24,1,t_cd4_em,CD4 EM,#1C75BC,10.4904509796187,-3.75163395432742,#000000,#F29727
0c07596efb8011ed8e8a7625f34dfd6b,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.29323089256733,-4.39213902978213,#000000,#F29727
43b4482afb8211ed9d09f6494964bb81,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.24367463454754,0.477342533785987,#000000,#F29727
4cbf03d8fb8211ed9d09f6494964bb81,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.42291724547894,2.35436217756956,#000000,#F29727
1c374e98fb8011ed8e8a7625f34dfd6b,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.61274802550823,1.53775875540464,#000000,#F29727
15b0f024fb8011ed8e8a7625f34dfd6b,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.47945868835003,0.0595789429733043,#000000,#F29727
de540014fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.37346446380169,0.792903589923072,#000000,#F29727
94e910bafb8011edb519365d129239e0,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.34919154510052,2.36641042204588,#000000,#F29727
439f84f4fb8111eda35df29f570c0793,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.6959079490617,3.2865373370239,#000000,#F29727
7df4dce0fb8011eda0a9e2763843e521,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,6.19416344299763,-0.00841031698496286,#000000,#F29727
4b8873c8fb8211ed9d09f6494964bb81,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,5.92354786529987,-0.576687363069367,#000000,#F29727
fe4930aeff2111edaa5fda2b1e723be2,dmso,24,6,t_cd4_naive,CD4 Naive,#93A7D1,-2.100746749492,1.55286090346067,#000000,#F29727
4541d0d8fb7b11ed8a1abe9d4c5fcb23,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.04851901397259,-4.11256058244021,#000000,#F29727
b1aeb816fb8111edb32712c42668f295,dmso,24,1,t_cd4_em,CD4 EM,#1C75BC,9.59193813934772,-4.18266875771792,#000000,#F29727
d723c126fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.61524522170574,1.78131954642026,#000000,#F29727
87b66022fb8111ed99031af2246d8fa2,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.55043971672504,-4.42855985192568,#000000,#F29727
d02639f2fb7e11edb9e426a51887eecf,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.30262172088177,0.737884330470253,#000000,#F29727
c786cbeafb7e11edb9e426a51887eecf,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.05908286437542,0.308825182635475,#000000,#F29727
c209ce80fb8111edb32712c42668f295,dmso,24,7,t_cd4_cm,CD4 CM,#00AEEF,9.65029919281452,-1.20575208691866,#000000,#F29727
2a8f6d06fb8311ed9fae72654f839162,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.90006434783489,3.35710351439207,#000000,#F29727
47299214fb7b11ed933dc6f18f77c1a7,dmso,24,10,t_cd4_treg,CD4 Treg,#E57A93,6.5735708488509,2.75601761313169,#000000,#F29727
c873a968fb7b11ed8d7c62b1232be981,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,6.15610373154133,0.218522774893928,#000000,#F29727
7dec33d8fb8011eda0a9e2763843e521,dmso,24,6,t_cd4_naive,CD4 Naive,#93A7D1,-4.57505929336102,1.39180891485899,#000000,#F29727
c0d3aa52fb7e11edb9e426a51887eecf,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,6.08718550339191,-0.861027074139428,#000000,#F29727
fb2abe74ff2111edaa5fda2b1e723be2,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.78255355224163,2.4832314726898,#000000,#F29727
dcd6db30fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.21064936980755,3.58159916372984,#000000,#F29727
bae27f60fb7e11ed84ffaefa3cccb57a,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.30091512069256,-3.87115342644961,#000000,#F29727
74fd34c0fb8011eda0a9e2763843e521,dmso,24,0,t_cd4_cm,CD4 CM,#00AEEF,-8.02868449553997,0.481296586711097,#000000,#F29727
160af164fb8011ed8e8a7625f34dfd6b,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.83439839020222,-4.28122670678408,#000000,#F29727
ba3c4348fb7e11ed84ffaefa3cccb57a,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.77114236488788,-3.8711660626343,#000000,#F29727
3a269b72fb8311ed9fae72654f839162,dmso,24,8,t_cd4_treg,CD4 Treg,#E57A93,2.33397150173633,4.43270199270933,#000000,#F29727
1435898afb8011ed8e8a7625f34dfd6b,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,5.96254694595783,0.112817752082038,#000000,#F29727
8fc416f2fb8011edb519365d129239e0,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.30756509170086,3.38220040770261,#000000,#F29727
47ad2cb4fb7b11ed933dc6f18f77c1a7,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.2296198593095,0.280608343798805,#000000,#F29727
d20dd816fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.46944987639935,2.77666943045347,#000000,#F29727
431df3fefb7b11ed933dc6f18f77c1a7,dmso,24,5,t_cd4_em,CD4 EM,#1C75BC,6.23692238464802,-2.79298503426821,#000000,#F29727
8ffbde74fb8111ed99031af2246d8fa2,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.3746303306535,-4.08577640084536,#000000,#F29727
d084c590fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.04178988799603,-0.364431073050808,#000000,#F29727
43e31634fb7b11ed8a1abe9d4c5fcb23,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.41878688201458,1.12649612398832,#000000,#F29727
f867414eff2111edaa5fda2b1e723be2,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.97135245666058,0.986506390292335,#000000,#F29727
9e24464afb8011edb519365d129239e0,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.19273888930828,3.66830723257749,#000000,#F29727
16e8fb4efb8011ed8e8a7625f34dfd6b,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.43853843078167,0.439166831690956,#000000,#F29727
98fc6508fb8011edb519365d129239e0,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,6.62582981720417,-0.110971716325592,#000000,#F29727
7d0b02befb8011eda0a9e2763843e521,dmso,24,11,t_cd4_cm,CD4 CM,#00AEEF,9.93848335876911,0.558004069049049,#000000,#F29727
c0fb0716fb8111edb32712c42668f295,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.28996121749432,1.24450700255125,#000000,#F29727
d939c956fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.78506362304241,2.82090036841123,#000000,#F29727
4335e882fb8111eda35df29f570c0793,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-6.77134024962933,-1.02290309695513,#000000,#F29727
19e3f9f2fb8011ed8e8a7625f34dfd6b,dmso,24,8,t_cd4_cm,CD4 CM,#00AEEF,2.2376823438689,4.08376066656797,#000000,#F29727
431c9de2fb7b11ed8a1abe9d4c5fcb23,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.64045083388836,-3.5493624928406,#000000,#F29727
ccc350e8fb8711edbbcffe1e90e63656,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.24435544147938,-2.9812210324219,#000000,#F29727
40f28610fb8211ed9d09f6494964bb81,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.2513073669389,1.62385086985319,#000000,#F29727
b7e4e47efb7e11ed84ffaefa3cccb57a,dmso,24,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.24660622939617,-3.79557616738589,#000000,#F29727
4013df9cfb8111eda35df29f570c0793,dmso,24,4,t_cd4_cm,CD4 CM,#00AEEF,3.90749228134601,-4.21330125359805,#000000,#F29727
0f249c6afb8011ed8e8a7625f34dfd6b,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.99392115935833,-0.0223417106083149,#000000,#F29727
bb939388fb8111edb32712c42668f295,dmso,24,7,t_cd4_cm,CD4 CM,#00AEEF,8.3286749137923,0.730948853213478,#000000,#F29727
7b62b5d8fb8011eda0a9e2763843e521,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.30423962935955,1.62281112642973,#000000,#F29727
cc0bc4cafb7b11ed8d7c62b1232be981,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.32768094405682,1.09066741438596,#000000,#F29727
cd9e7382fb7b11ed8d7c62b1232be981,dmso,24,5,t_cd4_cm,CD4 CM,#00AEEF,6.94829809799641,-2.41845948724062,#000000,#F29727
f1c6e600fb7f11ed898e2a71e2203848,dmso,24,2,t_cd4_cm,CD4 CM,#00AEEF,5.80152952805012,-0.0134751620701069,#000000,#F29727
d176d768fb8711edbbcffe1e90e63656,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.40914332732708,3.51464025946348,#000000,#F29727
7c9cf242fb8011eda0a9e2763843e521,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.23779475554974,1.0043792006561,#000000,#F29727
94108fdcfb8111ed99031af2246d8fa2,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.02899300918133,3.73838083716123,#000000,#F29727
cb53276efb7e11edb9e426a51887eecf,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.50396907195599,0.835706639010597,#000000,#F29727
3ae00e6afb8111eda35df29f570c0793,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.23226249084026,3.15279238196104,#000000,#F29727
48796e44fb8211ed9d09f6494964bb81,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.55192458495648,0.297915506083656,#000000,#F29727
41bc97e0fb7b11ed8a1abe9d4c5fcb23,dmso,24,5,t_cd4_cm,CD4 CM,#00AEEF,7.34928143158405,-2.10605223206789,#000000,#F29727
4233853afb7b11ed933dc6f18f77c1a7,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.78989589080364,0.541385221202064,#000000,#F29727
bb55ae9afb7e11ed84ffaefa3cccb57a,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.00090873107464,1.63851790400236,#000000,#F29727
bc7ee28efb8111edb32712c42668f295,dmso,24,1,t_cd4_em,CD4 EM,#1C75BC,8.23709499969929,-1.78279275922091,#000000,#F29727
42e83f6efb8211ed9d09f6494964bb81,dmso,24,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.16953074798138,0.678012537676979,#000000,#F29727
