seurat_clusters,predicted.celltype.l2,n_cl,n_seurat,frac_cl,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color
0,CD4 Naive,8898,6996,0.786244099797707,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D
0,CD4 TCM,8898,1599,0.179703304113284,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D
0,CD4 TEM,8898,69,0.00775455158462576,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D
0,Treg,8898,173,0.0194425713643515,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D
1,CD4 Naive,2529,8,0.00316330565440886,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8
1,CD4 TCM,2529,1807,0.714511664689601,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8
1,CD4 TEM,2529,322,0.127323052589956,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8
1,Treg,2529,4,0.00158165282720443,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8
2,CD4 Naive,1973,37,0.0187531677648251,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56
2,CD4 TCM,1973,1853,0.939178915357324,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56
2,CD4 TEM,1973,39,0.0197668525088697,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56
2,Treg,1973,29,0.0146984287886467,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56
3,CD4 Naive,1797,1505,0.837506956037841,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900
3,CD4 TCM,1797,216,0.120200333889816,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900
3,CD4 TEM,1797,12,0.00667779632721202,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900
3,Treg,1797,52,0.0289371174179188,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900
4,CD4 Naive,1696,37,0.0218160377358491,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094
4,CD4 TCM,1696,1609,0.948702830188679,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094
4,CD4 TEM,1696,4,0.00235849056603774,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094
4,Treg,1696,27,0.0159198113207547,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094
5,CD4 Naive,1312,53,0.0403963414634146,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4
5,CD4 TCM,1312,1223,0.932164634146341,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4
5,CD4 TEM,1312,18,0.013719512195122,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4
