gene,n_cells,n_nonzero,frac_nonzero,sum,mean,mean_nonzero,seurat_clusters,feature,feature_name,xpos,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color,scaled_mean
CD45RA,8898,8898,1,2437253,273.910204540346,273.910204540346,0,adt_CD45RA,CD45RA,1,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.890759328627758
CD45RO,8898,8898,1,404888,45.5032591593617,45.5032591593617,0,adt_CD45RO,CD45RO,2,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.0110523971285349
CD69,8898,8866,0.996403686221623,210386,23.6441897055518,23.7295285359801,0,adt_CD69,CD69,3,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.0481200316645685
CD11c,8898,6045,0.679366149696561,13757,1.54607777028546,2.27576509511993,0,adt_CD11c,CD11c,4,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.283847813999604
CD25,8898,8571,0.963250168577208,43768,4.91885817037537,5.1065219927663,0,adt_CD25,CD25,5,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.0246656173182333
TIGIT,8898,8889,0.998988536749831,97778,10.9887615194426,10.9998875014062,0,adt_TIGIT,TIGIT,6,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.0205378052757827
CD45RA,2529,2529,1,350500,138.592328983788,138.592328983788,1,adt_CD45RA,CD45RA,1,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.00768421315183532
CD45RO,2529,2529,1,154263,60.9976275207592,60.9976275207592,1,adt_CD45RO,CD45RO,2,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.434723148133616
CD69,2529,2527,0.999209173586398,134691,53.2586002372479,53.3007518796992,1,adt_CD69,CD69,3,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.554078502263963
CD11c,2529,1878,0.742586002372479,4980,1.96915776986951,2.6517571884984,1,adt_CD11c,CD11c,4,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.923176103054016
CD25,2529,2446,0.967180703835508,13986,5.53024911032028,5.71790678659035,1,adt_CD25,CD25,5,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.0465078308744234
TIGIT,2529,2529,1,29392,11.6219849742981,11.6219849742981,1,adt_TIGIT,TIGIT,6,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.103692295803639
CD45RA,1973,1973,1,283120,143.497212366954,143.497212366954,2,adt_CD45RA,CD45RA,1,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.0396931435475443
CD45RO,1973,1973,1,122354,62.0141915864166,62.0141915864166,2,adt_CD45RO,CD45RO,2,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.462519599792457
CD69,1973,1970,0.998479472883933,83980,42.5646224024328,42.6294416243655,2,adt_CD69,CD69,3,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.371494246167331
