subject,treatment,stim,population,feature,group,count,frac
PB04863,DMSO,no,CD8,CD40L,neg,7719,0.982686187141948
PB04863,DMSO,no,CD8,CD40L,pos,136,0.0173138128580522
PB04863,DMSO,no,CD8,CD69,neg,1811,0.232417864476386
PB04863,DMSO,no,CD8,CD69,mid,5201,0.667479466119096
PB04863,DMSO,no,CD8,CD69,pos,780,0.100102669404517
PB04863,DMSO,no,CD4,CD40L,neg,46977,0.917053839846953
PB04863,DMSO,no,CD4,CD40L,pos,4249,0.0829461601530473
PB04863,DMSO,no,CD4,CD69,neg,46355,0.895264398006876
PB04863,DMSO,no,CD4,CD69,mid,4652,0.08984510796091
PB04863,DMSO,no,CD4,CD69,pos,771,0.0148904940322145
PB04863,DMSO,yes,CD8,CD40L,neg,2302,0.847569955817378
PB04863,DMSO,yes,CD8,CD40L,pos,414,0.152430044182622
PB04863,DMSO,yes,CD8,CD69,neg,18,0.00667903525046382
PB04863,DMSO,yes,CD8,CD69,mid,544,0.201855287569573
PB04863,DMSO,yes,CD8,CD69,pos,2133,0.791465677179963
PB04863,DMSO,yes,CD4,CD40L,neg,6955,0.44220498474059
PB04863,DMSO,yes,CD4,CD40L,pos,8773,0.55779501525941
PB04863,DMSO,yes,CD4,CD69,neg,1153,0.0724883691688671
PB04863,DMSO,yes,CD4,CD69,mid,2907,0.182761222180309
PB04863,DMSO,yes,CD4,CD69,pos,11846,0.744750408650824
PB04863,B,no,CD8,CD40L,neg,7616,0.995946122662482
PB04863,B,no,CD8,CD40L,pos,31,0.00405387733751798
PB04863,B,no,CD8,CD69,neg,575,0.0756778099499868
PB04863,B,no,CD8,CD69,mid,6913,0.909844695972624
PB04863,B,no,CD8,CD69,pos,110,0.0144774940773888
PB04863,B,no,CD4,CD40L,neg,46815,0.912004207901504
PB04863,B,no,CD4,CD40L,pos,4517,0.0879957920984961
PB04863,B,no,CD4,CD69,neg,39681,0.761923963133641
PB04863,B,no,CD4,CD69,mid,12149,0.233275729646697
PB04863,B,no,CD4,CD69,pos,250,0.00480030721966206
PB04863,B,yes,CD8,CD40L,neg,2637,0.964520848573519
PB04863,B,yes,CD8,CD40L,pos,97,0.0354791514264813
PB04863,B,yes,CD8,CD69,neg,38,0.014334213504338
PB04863,B,yes,CD8,CD69,mid,1590,0.599773670313089
PB04863,B,yes,CD8,CD69,pos,1023,0.385892116182573
PB04863,B,yes,CD4,CD40L,neg,4410,0.507246376811594
PB04863,B,yes,CD4,CD40L,pos,4284,0.492753623188406
PB04863,B,yes,CD4,CD69,neg,1282,0.146782688344401
PB04863,B,yes,CD4,CD69,mid,3947,0.451912067781085
PB04863,B,yes,CD4,CD69,pos,3505,0.401305243874513
PB04863,D,no,CD8,CD40L,neg,13608,0.997653958944282
PB04863,D,no,CD8,CD40L,pos,32,0.00234604105571848
PB04863,D,no,CD8,CD69,neg,2685,0.199420677361854
PB04863,D,no,CD8,CD69,mid,10595,0.786913250148544
PB04863,D,no,CD8,CD69,pos,184,0.0136660724896019
PB04863,D,no,CD4,CD40L,neg,66477,0.950187244504159
PB04863,D,no,CD4,CD40L,pos,3485,0.0498127554958406
PB04863,D,no,CD4,CD69,neg,68799,0.97285029482883
PB04863,D,no,CD4,CD69,mid,1738,0.0245761393684865
PB04863,D,no,CD4,CD69,pos,182,0.00257356580268386
PB04863,D,yes,CD8,CD40L,neg,3066,0.903891509433962
PB04863,D,yes,CD8,CD40L,pos,326,0.0961084905660377
PB04863,D,yes,CD8,CD69,neg,36,0.0107913669064748
PB04863,D,yes,CD8,CD69,mid,1148,0.344124700239808
PB04863,D,yes,CD8,CD69,pos,2152,0.645083932853717
PB04863,D,yes,CD4,CD40L,neg,8246,0.469162494310423
PB04863,D,yes,CD4,CD40L,pos,9330,0.530837505689577
PB04863,D,yes,CD4,CD69,neg,1889,0.106416539913244
PB04863,D,yes,CD4,CD69,mid,4727,0.266294856627796
PB04863,D,yes,CD4,CD69,pos,11135,0.62728860345896
PB04863,L,no,CD8,CD40L,neg,11683,0.978967655438244
PB04863,L,no,CD8,CD40L,pos,251,0.0210323445617563
PB04863,L,no,CD8,CD69,neg,2438,0.206873143826899
PB04863,L,no,CD8,CD69,mid,8406,0.713279592702588
PB04863,L,no,CD8,CD69,pos,941,0.0798472634705134
PB04863,L,no,CD4,CD40L,neg,61907,0.941379520087589
PB04863,L,no,CD4,CD40L,pos,3855,0.0586204799124114
PB04863,L,no,CD4,CD69,neg,62324,0.940782224100714
PB04863,L,no,CD4,CD69,mid,3048,0.046009630624783
PB04863,L,no,CD4,CD69,pos,875,0.013208145274503
PB04863,L,yes,CD8,CD40L,neg,2336,0.864544781643227
PB04863,L,yes,CD8,CD40L,pos,366,0.135455218356773
PB04863,L,yes,CD8,CD69,neg,30,0.011359333585763
PB04863,L,yes,CD8,CD69,mid,853,0.322983718288527
PB04863,L,yes,CD8,CD69,pos,1758,0.66565694812571
PB04863,L,yes,CD4,CD40L,neg,4126,0.362629636139919
PB04863,L,yes,CD4,CD40L,pos,7252,0.637370363860081
PB04863,L,yes,CD4,CD69,neg,1008,0.0880041906757465
PB04863,L,yes,CD4,CD69,mid,2388,0.20848611838659
PB04863,L,yes,CD4,CD69,pos,8058,0.703509690937664
PB04863,BD,no,CD8,CD40L,neg,7865,0.997716605353292
PB04863,BD,no,CD8,CD40L,pos,18,0.00228339464670811
PB04863,BD,no,CD8,CD69,neg,1087,0.139234020750608
PB04863,BD,no,CD8,CD69,mid,6672,0.854617650826182
PB04863,BD,no,CD8,CD69,pos,48,0.00614832842320994
PB04863,BD,no,CD4,CD40L,neg,46819,0.929760108030821
PB04863,BD,no,CD4,CD40L,pos,3537,0.0702398919691794
PB04863,BD,no,CD4,CD69,neg,43502,0.851194552605318
PB04863,BD,no,CD4,CD69,mid,7499,0.14673136752304
PB04863,BD,no,CD4,CD69,pos,106,0.00207407987164185
PB04863,BD,yes,CD8,CD40L,neg,3041,0.989264801561483
PB04863,BD,yes,CD8,CD40L,pos,33,0.0107351984385166
PB04863,BD,yes,CD8,CD69,neg,123,0.0409317803660566
