aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,upr_pathway,alt_name,y_offset,y_pos,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,ACADVL,0.109745065937096,1.17030410361445,0.168161062398239,1.26828384211888e-11,9.70522788734931e-10,1,up,IRE1alpha activates chaperones,,0,50,27,27,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ADD1,-0.0161275349066745,0.313710788737721,0.0995914075851322,0.0254956094963773,0.154575094262833,1,up,IRE1alpha activates chaperones,,0,49,26,26,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ATF4,0.0357826388257561,0.0297195637440533,0.0180644323621364,0.389486384153359,0.665404782317038,1,up,ATF6/PERK ,,2,62,35,37,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ATF6,0.0721759963631999,0.317407579064868,0.157603440407561,0.0013165187762858,0.0185755988135741,1,up,Key regulators,,4,94,56,60,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,ATP6V0D1,-0.0638953169522363,-0.101778985471965,-0.0155507158806571,0.270726063258104,0.563338358969705,-1,dn,IRE1alpha activates chaperones,,0,47,24,24,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CALR,-0.0249215980442831,-0.130813583620354,-0.0426444059244616,0.395876290563502,0.669621955801344,-1,dn,ATF6 (ATF6-alpha) activates chaperones,,1,56,30,31,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CEBPB,0.0261074969654965,-0.146936755966457,-0.0143921174813476,0.59312503476554,0.799810135783219,-1,dn,PERK regulates gene expression,,3,85,50,53,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CEBPG,0.00845384612415525,-0.0410016924099618,-0.00355617891171255,0.954556049625453,0.983503042881926,-1,dn,PERK regulates gene expression,,3,84,49,52,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,CTDSP2,0.0485670210085179,-0.18430017319456,-0.0161987242616486,0.200327437721241,0.487000931884436,-1,dn,IRE1alpha activates chaperones,,0,44,23,23,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,DCP2,-0.0189407043892063,-0.0583072147698641,-0.0258730968059298,0.76650299808087,0.894761660770106,-1,dn,PERK regulates gene expression,,3,82,47,50,Bor/DMSO,CD4 CM,#00AEEF,2,6
