fg,timepoint,aifi_cell_type,pathway_label,all_padj,all_NES,no_psm_padj,no_psm_NES,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,pathway,diff,abs_diff,all_sig,no_psm_sig,sig_change
bortezomib,24,t_cd4_cm,MYC Targets V1,3.38588833370402e-06,2.0137402402695,0.595868945868946,0.999475277493723,CD4 CM,#00AEEF,2,6,HALLMARK_MYC_TARGETS_V1,-1.01426496277578,1.01426496277578,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_cm,MTORC1 Signaling,0.00349909993163339,1.81786161294576,0.147798742138365,1.45434552745556,CD4 CM,#00AEEF,2,6,HALLMARK_MTORC1_SIGNALING,-0.3635160854902,0.3635160854902,TRUE,FALSE,TRUE
bortezomib,24,t_cd4_cm,ROS Pathway,0.0544136557429541,1.75594494672399,0.0152975765715805,1.84620409564808,CD4 CM,#00AEEF,2,6,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.09025914892409,0.09025914892409,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,Adipogenesis,0.0262122801775369,1.67862499246107,0.0152975765715805,1.69151931710991,CD4 CM,#00AEEF,2,6,HALLMARK_ADIPOGENESIS,0.01289432464884,0.01289432464884,TRUE,TRUE,FALSE
bortezomib,24,t_cd4_cm,Xenobiotic Metabolism,0.266257954369083,1.39692756919342,0.157519899455383,1.49897759470251,CD4 CM,#00AEEF,2,6,HALLMARK_XENOBIOTIC_METABOLISM,0.10205002550909,0.10205002550909,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Fatty Acid Metabolism,0.266257954369083,1.37208576227774,0.127408716583426,1.50225830157767,CD4 CM,#00AEEF,2,6,HALLMARK_FATTY_ACID_METABOLISM,0.13017253929993,0.13017253929993,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,PI3K/AKT/mTOR Signaling,0.280412211374554,1.36537377162327,0.157519899455383,1.4696254943306,CD4 CM,#00AEEF,2,6,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.10425172270733,0.10425172270733,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Spermatogenesis,0.316326530612245,1.34922601365439,0.281261164701679,1.4371889872816,CD4 CM,#00AEEF,2,6,HALLMARK_SPERMATOGENESIS,0.0879629736272098,0.0879629736272098,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Glycolysis,0.374544626593807,1.24070275588229,0.36549360748649,1.23663044572868,CD4 CM,#00AEEF,2,6,HALLMARK_GLYCOLYSIS,-0.00407231015360998,0.00407231015360998,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Heme Metabolism,0.374544626593807,1.23191946719885,0.337511424467946,1.25741147436437,CD4 CM,#00AEEF,2,6,HALLMARK_HEME_METABOLISM,0.02549200716552,0.02549200716552,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,Protein Secretion,0.374544626593807,1.23094025790863,0.298412698412698,1.32713841974261,CD4 CM,#00AEEF,2,6,HALLMARK_PROTEIN_SECRETION,0.09619816183398,0.09619816183398,FALSE,FALSE,FALSE
bortezomib,24,t_cd4_cm,G2/M Checkpoint,0.445696223050738,1.13526660150445,0.575031210986267,1.02462150847314,CD4 CM,#00AEEF,2,6,HALLMARK_G2M_CHECKPOINT,-0.11064509303131,0.11064509303131,FALSE,FALSE,FALSE
